#theta_nq = 55 +/- 5 deg :: Q2 = 4.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%],  all(*_err) are absolute. 
#pm_bin: central bin with +/- 0.02 GeV. The pwia/fsi Xsec are from Laget calculation. red_dataXsec_avg with nan values have > 50%% stats uncertainty should be ignored.
#Each of the quantities here have been averaged over overlapping (Pm, thnq) bins for Pm=80, 580(sets 1,2) and 750(sets 1,2,3). Energy and angle units are in [Gev] and [deg]  
#!pm_bin[i,0]/  pm_avg[f,1]/  red_dataXsec_avg[f,2]/   red_dataXsec_avg_stat_err[f,3]/   red_dataXsec_avg_syst_err[f,4]/   red_dataXsec_avg_tot_err[f,5]/   rel_stats_err[f,6]/   rel_norm_syst[f,7]/   rel_kin_syst[f,8]/   rel_syst_tot[f,9]/   rel_tot_err[f,10]/   Ei_avg[f, 11]/   kf_avg[f,12]/   the_avg[f,13]/   pf_avg[f,14]/   nu_avg[f,15]/   Q2_avg[f,16]/   q_avg[f,17]/ 
0.02000         0.03172       5.18815E+00              1.10804E+00                       1.92925E-01                       1.12471E+00                      0.21357               0.03661               0.00651              0.03719              0.21678              10.59940         8.45910         12.27370         2.92921         2.14030         4.09873         2.94612              
0.06000         0.06218       1.39568E+00              9.04431E-02                       5.22209E-02                       1.04436E-01                      0.06480               0.03661               0.00772              0.03742              0.07483              10.59895         8.47415         12.35783         2.91133         2.12480         4.16212         2.94566              
0.10000         0.09928       2.88239E-01              1.36117E-02                       1.06830E-02                       1.73033E-02                      0.04722               0.03661               0.00577              0.03706              0.06003              10.59870         8.48653         12.46284         2.89472         2.11217         4.23895         2.94961              
0.14000         0.13833       7.06831E-02              4.14268E-03                       2.84535E-03                       5.02571E-03                      0.05861               0.03661               0.01674              0.04025              0.07110              10.59866         8.49936         12.55705         2.87603         2.09930         4.30951         2.95238              
0.18000         0.17855       2.00666E-02              1.85461E-03                       8.72608E-04                       2.04964E-03                      0.09242               0.03661               0.02346              0.04349              0.10214              10.59863         8.51799         12.61505         2.84937         2.08065         4.35877         2.94752              
0.22000         0.21843       7.04340E-03              1.00329E-03                       3.16032E-04                       1.05189E-03                      0.14244               0.03661               0.02594              0.04487              0.14934              10.59866         8.53749         12.64712         2.82017         2.06117         4.39091         2.93927              
0.26000         0.25868       2.68690E-03              5.90904E-04                       1.17621E-04                       6.02497E-04                      0.21992               0.03661               0.02400              0.04378              0.22423              10.59864         8.54292         12.70888         2.80398         2.05571         4.43654         2.94321              
0.30000         0.29881       1.20335E-03              4.01855E-04                       5.03419E-05                       4.04996E-04                      0.33395               0.03661               0.02024              0.04183              0.33656              10.59859         8.54470         12.76728         2.79002         2.05389         4.47815         2.94901              
0.34000         0.33886       NAN                      2.18196E-04                       1.24081E-05                       2.18549E-04                      0.70732               0.03661               0.01666              0.04022              0.70846              10.59854         8.54452         12.81297         2.77657         2.05402         4.51001         2.95449              
0.38000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              2.76512         nan             nan             nan                  
0.42000         0.41900       NAN                      2.06928E-04                       7.89153E-06                       2.07078E-04                      1.00016               0.03661               0.01070              0.03814              1.00089              10.59864         8.53416         12.88956         2.75599         2.06448         4.55837         2.96992              
0.46000         0.45881       NAN                      3.65446E-04                       1.95010E-05                       3.65966E-04                      0.70738               0.03661               0.00919              0.03775              0.70838              10.59860         8.52344         12.92121         2.45372         2.07516         4.57492         2.98014              
0.50000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              2.46281         nan             nan             nan                  
0.54000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              2.46729         nan             nan             nan                  
0.58000         0.58149       NAN                      1.40050E-04                       1.54734E-05                       1.40903E-04                      0.50392               0.05302               0.01698              0.05568              0.50699              10.59922         8.85759         11.81456         2.46564         1.74163         3.97777         2.64784              
0.62000         0.62074       NAN                      4.61170E-05                       4.32541E-06                       4.63194E-05                      0.59603               0.05302               0.01771              0.05590              0.59864              10.59892         8.83586         11.85769         2.34497         1.76306         3.99682         2.66556              
0.66000         0.66016       1.11707E-04              4.24719E-05                       6.28645E-06                       4.29346E-05                      0.38021               0.05302               0.01886              0.05628              0.38435              10.59871         8.81252         11.89688         2.35686         1.78620         4.01248         2.68384              
0.70000         0.69951       5.88594E-05              2.66308E-05                       3.33856E-06                       2.68393E-05                      0.45245               0.05302               0.02015              0.05672              0.45599              10.59849         8.78909         11.92927         2.37020         1.80940         4.02347         2.70137              
0.74000         0.73909       9.00726E-05              3.01447E-05                       5.14492E-06                       3.05806E-05                      0.33467               0.05302               0.02124              0.05712              0.33951              10.59834         8.76386         11.95620         2.27657         1.83448         4.02994         2.71943              
0.78000         0.77876       NAN                      1.65347E-05                       1.58623E-06                       1.66106E-05                      0.60172               0.05302               0.02282              0.05772              0.60448              10.59824         8.73711         11.98095         2.27954         1.86113         4.03418         2.73824              
0.82000         0.81823       NAN                      1.61434E-05                       1.32778E-06                       1.61979E-05                      0.71025               0.05302               0.02452              0.05842              0.71265              10.59821         8.70979         12.00649         2.28165         1.88842         4.03865         2.75768              
0.86000         0.85761       NAN                      5.55831E-05                       4.00944E-06                       5.57275E-05                      0.57882               0.03758               0.01818              0.04175              0.58032              10.59810         8.68233         12.01879         2.28182         1.91577         4.03411         2.77566              
0.90000         0.89781       NAN                      7.54339E-05                       6.33967E-06                       7.56998E-05                      0.50228               0.03740               0.01957              0.04221              0.50405              10.59810         8.65310         12.03412         2.28358         1.94499         4.03075         2.79531              
0.94000         0.93727       NAN                      6.77730E-05                       2.92093E-06                       6.78359E-05                      1.00175               0.03758               0.02125              0.04317              1.00268              10.59801         8.62359         12.04317         2.28531         1.97442         4.02299         2.81449              
0.98000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              2.28865         nan             nan             nan                  
1.02000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              2.29213         nan             nan             nan                  
1.06000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              2.29283         nan             nan             nan                  
1.10000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              2.31570         nan             nan             nan                  
1.14000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              2.35694         nan             nan             nan                  
1.18000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              2.36219         nan             nan             nan                  
