#theta_nq = 35 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%],  all(*_err) are absolute. 
#pm_bin: central bin with +/- 0.02 GeV. The pwia/fsi Xsec are from Laget calculation. red_dataXsec_avg with nan values have > 50%% stats uncertainty should be ignored.
#Each of the quantities here have been averaged over overlapping (Pm, thnq) bins for Pm=80, 580(sets 1,2) and 750(sets 1,2,3). Energy and angle units are in [Gev] and [deg]  
#!pm_bin[i,0]/  pm_avg[f,1]/  red_dataXsec_avg[f,2]/   red_dataXsec_avg_stat_err[f,3]/   red_dataXsec_avg_syst_err[f,4]/   red_dataXsec_avg_tot_err[f,5]/   rel_stats_err[f,6]/   rel_norm_syst[f,7]/   rel_kin_syst[f,8]/   rel_syst_tot[f,9]/   rel_tot_err[f,10]/   Ei_avg[f, 11]/   kf_avg[f,12]/   the_avg[f,13]/   pf_avg[f,14]/   nu_avg[f,15]/   Q2_avg[f,16]/   q_avg[f,17]/ 
0.02000         0.02981       5.75153E+00              7.30678E-01                       2.64165E-01                       7.76964E-01                      0.12704               0.03661               0.02773              0.04593              0.13509              10.59840         8.63151         11.68232         2.74662         1.96689         3.78996         2.76742              
0.06000         0.05656       1.97889E+00              1.49388E-01                       1.32343E-01                       1.99578E-01                      0.07549               0.03661               0.05597              0.06688              0.10085              10.59826         8.65849         11.77325         2.71664         1.93977         3.86096         2.76110              
0.10000         0.09245       4.77584E-01              4.67178E-02                       3.97763E-02                       6.13572E-02                      0.09782               0.03661               0.07481              0.08329              0.12847              10.59803         8.69862         11.84276         2.67090         1.89941         3.92455         2.74450              
0.14000         0.12870       1.16331E-01              3.00546E-02                       9.37129E-03                       3.14818E-02                      0.25836               0.03661               0.07176              0.08056              0.27062              10.59781         8.73283         11.90507         2.62989         1.86498         3.98131         2.73120              
0.18000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              nan             nan             nan             nan                  
0.22000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              nan             nan             nan             nan                  
0.26000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              nan             nan             nan             nan                  
0.30000         0.31407       NAN                      1.97245E-03                       7.12472E-05                       1.97373E-03                      1.06209               0.03740               0.00855              0.03836              1.06278              10.60025         9.22262         10.74612         2.05719         1.37763         3.42891         2.30798              
0.34000         0.34540       2.95606E-04              1.07898E-04                       1.59913E-05                       1.09076E-04                      0.36501               0.05302               0.01073              0.05410              0.36899              10.59973         9.20850         10.87872         2.06239         1.39122         3.50824         2.33318              
0.38000         0.38192       2.09371E-04              4.22854E-05                       1.12699E-05                       4.37615E-05                      0.20196               0.05302               0.00928              0.05383              0.20901              10.59933         9.18818         11.04785         2.06980         1.41115         3.60970         2.36665              
0.42000         0.42582       1.09994E-04              2.04883E-05                       8.37386E-06                       2.21335E-05                      0.18627               0.07514               0.01222              0.07613              0.20122              10.59955         9.21674         11.01838         2.00695         1.38281         3.60232         2.34820              
0.46000         0.46156       9.26702E-05              1.43617E-05                       7.04584E-06                       1.59970E-05                      0.15498               0.07514               0.01159              0.07603              0.17262              10.59919         9.19743         11.15729         2.01171         1.40176         3.68568         2.37697              
0.50000         0.50001       3.99584E-05              7.68163E-06                       3.39903E-06                       8.40005E-06                      0.19224               0.08410               0.01280              0.08506              0.21022              10.59906         9.18824         11.24846         2.01416         1.41081         3.74200         2.39414              
0.54000         0.53895       4.28367E-05              7.00236E-06                       3.64397E-06                       7.89377E-06                      0.16347               0.08410               0.01282              0.08507              0.18428              10.59882         9.16672         11.37912         2.01688         1.43209         3.81988         2.42292              
0.58000         0.57799       3.07679E-05              5.53576E-06                       2.61810E-06                       6.12364E-06                      0.17992               0.08410               0.01299              0.08509              0.19903              10.59867         9.14717         11.48432         2.01631         1.45150         3.88210         2.44722              
0.62000         0.61847       2.82866E-05              5.61152E-06                       1.87625E-06                       5.91688E-06                      0.19838               0.06527               0.01179              0.06633              0.20918              10.59864         9.15550         11.47477         2.01253         1.44314         3.87903         2.44166              
0.66000         0.65751       2.00139E-05              5.52337E-06                       1.33042E-06                       5.68134E-06                      0.27598               0.06527               0.01258              0.06648              0.28387              10.59840         9.13501         11.55282         2.00823         1.46339         3.92291         2.46261              
0.70000         0.69694       2.55271E-05              9.21558E-06                       1.38955E-06                       9.31975E-06                      0.36101               0.05335               0.01083              0.05443              0.36509              10.59827         9.11438         11.61626         2.00523         1.48389         3.95696         2.48171              
