#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/    red_fsiXsec_theory[f,3]/
95.000000   0.030483   7.409741443002e-07   7.409741443002e-07
95.000000   0.059840   1.943702376530e-07   1.943702376530e-07
95.000000   0.097829   3.891633671107e-08   3.891633671107e-08
95.000000   0.136064   9.952428156939e-09   9.952428156939e-09
95.000000   0.175239   2.996222852840e-09   2.996222852840e-09
95.000000   0.213577   1.069635231065e-09   1.069635231065e-09
95.000000   0.251449   4.378621184556e-10   4.378621184556e-10
95.000000   0.287527   2.102649420240e-10   2.102649420240e-10
