         1x             1y             2x             2y 
         21.315        29.9688         22.318           -nan
      35.554346      28.233694      48.939010           -nan
      23.673630      76.075280      24.753752      36.919100
      23.608028      80.748529      25.709290      39.522475
      81.141564      85.953145      54.575286      42.327476
      62.307750      78.395403      50.246567      41.061988
      77.043929      76.067949      64.499695      46.595951
     100.729195      57.345215      65.503172      43.278209
     128.566256      29.406343      84.682099      43.577508
      88.093624     102.884641      76.210749      42.580933
      59.548192      29.804540      61.709223      45.087718
      42.261888      66.534832      48.386525      45.266909
      25.567788      38.925252      38.457485      29.939532
       0.000000       0.000000      40.876480      23.704275
       0.000000       0.000000       0.000000      26.498066
       0.000000       0.000000       0.000000      26.141067
       0.000000       0.000000       0.000000     152.451710
       0.000000       0.000000       0.000000      28.535382
       0.000000       0.000000       0.000000           -nan
       0.000000       0.000000       0.000000           -nan
       0.000000       0.000000       0.000000           -nan
====================================================================================================
      22.271163      24.728659      27.341505           -nan
      47.193179      24.592560      41.525539           -nan
      25.255044      84.332723      23.634105      44.895928
      30.302481      92.860740      27.451027      39.706638
      46.966540      92.419102      26.428923      47.358976
      60.218793      89.579449      51.647726      43.511605
     102.662988      83.631852      71.998054      48.322933
     127.749179      65.451742      81.226179      43.573714
     116.374886      35.926547     109.282058      44.920223
      90.674337     118.175220      95.114072      41.823973
      76.224363      41.377258      75.966469      44.617264
      40.557767      63.702578      54.634167      41.482595
      28.360818      28.884182      39.325863      28.986881
       0.000000       0.000000      36.356688      25.177970
       0.000000       0.000000       0.000000      26.557055
       0.000000       0.000000       0.000000      23.412465
       0.000000       0.000000       0.000000     178.943576
       0.000000       0.000000       0.000000      28.442939
       0.000000       0.000000       0.000000           -nan
       0.000000       0.000000       0.000000           -nan
       0.000000       0.000000       0.000000           -nan
