         1x             1y             2x             2y 
        20.0007         30.221        21.6571           -nan
      33.651124      28.082067      47.703989           -nan
      22.564912      75.666485      23.676851      34.650681
      23.141862      79.967958      25.544978      37.817067
      80.562285      84.679799      52.874910      39.409710
      60.794284      77.387478      49.299510      36.614675
      72.329925      75.255310      63.789350      42.854022
      93.113679      57.164214      64.651461      40.715128
     124.604919      29.289313      83.543533      39.561439
      84.289954     103.438607      75.413504      40.445524
      56.663811      29.591036      60.691387      42.802431
      39.783173      65.901549      47.796028      43.372268
      24.489137      40.063550      38.195836      25.937179
       0.000000       0.000000      38.392421      19.425543
       0.000000       0.000000       0.000000      22.039423
       0.000000       0.000000       0.000000      19.333208
       0.000000       0.000000       0.000000     153.870011
       0.000000       0.000000       0.000000      24.649295
       0.000000       0.000000       0.000000           -nan
       0.000000       0.000000       0.000000           -nan
       0.000000       0.000000       0.000000           -nan
====================================================================================================
      16.753463      24.906444      26.885210           -nan
      46.028915      24.378359      41.346543           -nan
      24.749654      83.958517      20.739701      38.355575
      28.553170      92.496518      26.721230      34.347047
      47.042532      91.984658      21.617627      40.435020
      58.243982      89.387789      51.418759      36.459305
      99.069123      83.278176      71.538383      41.997641
     123.633747      65.362862      80.567616      38.482242
     113.099482      35.934477     109.096728      40.408081
      87.590492     116.098144      93.618001      38.160247
      74.913655      41.407262      75.466973      40.610122
      38.182318      64.143096      54.173641      38.238371
      28.570419      29.167380      38.955400      24.462491
       0.000000       0.000000      36.886725      22.509435
       0.000000       0.000000       0.000000      21.475251
       0.000000       0.000000       0.000000      23.026981
       0.000000       0.000000       0.000000     179.808977
       0.000000       0.000000       0.000000      23.228704
       0.000000       0.000000       0.000000           -nan
       0.000000       0.000000       0.000000           -nan
       0.000000       0.000000       0.000000           -nan
