#!Run[i,0]/    dataY[f,1]/      dataY_err[f,2]/    simcY[f,3]/       simcY_err[f,4]/    R[f,5]/            R_err[f,6]/          shms_3of4_rate[f,7]/  
3371           410.61822235     2.57405526406      407.279678673     3.09282732542      0.991869470238     0.00976695799003     45.307
3288           1007.60569212     6.4086119218      992.306439608     2.89144919302      0.984816230565     0.00688972032004     80.3902
3374           3589.68753866     22.7728576404      3381.90941095     9.35575869647      0.942118046356     0.00652031135088     271.992
3377           10099.7315395     63.7986226007      8943.70625925     19.239917458      0.88553900906     0.00590930780035     634.447
