#!Run[i,0]/    dataY[f,1]/      dataY_err[f,2]/    simcY[f,3]/       simcY_err[f,4]/    R[f,5]/            R_err[f,6]/          shms_3of4_rate[f,7]/  
3371           488.121341228     2.63893443085      471.2099787     3.32672223707      0.965354183273     0.00858411933686     45.307
3288           1196.66763838     6.53457344686      1153.76886821     3.11782739778      0.964151474647     0.00587428818896     80.3902
3374           4157.29906107     22.9172726577      3910.1847471     10.0599695303      0.940558927723     0.00572175185932     271.992
3377           11878.771497     66.0004524128      10358.2708693     20.7056121786      0.871998495121     0.00514898575891     634.447
