#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
75.000000   0.030849   6.948496691805e-07
75.000000   0.061793   1.840223264694e-07
75.000000   0.098312   3.959276554818e-08
75.000000   0.137906   9.903739827392e-09
75.000000   0.177597   3.000370297727e-09
75.000000   0.218064   1.044136429871e-09
75.000000   0.257951   4.084399230417e-10
75.000000   0.298236   1.776740875996e-10
75.000000   0.338596   8.893961828698e-11
75.000000   0.378512   4.859091830088e-11
75.000000   0.418504   2.857869528335e-11
75.000000   0.458276   1.770352188728e-11
75.000000   0.498229   1.133724201884e-11
75.000000   0.537446   7.457288474230e-12
75.000000   0.577095   4.965059596796e-12
75.000000   0.616762   3.362750818830e-12
75.000000   0.654846   2.305277535604e-12
75.000000   0.694032   1.547732396874e-12
75.000000   0.732023   1.021034988329e-12
