#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
35.000000   0.031358   7.074211945208e-07
35.000000   0.062466   1.784045073267e-07
35.000000   0.099042   3.783938729529e-08
35.000000   0.138549   9.459077366547e-09
35.000000   0.177689   2.934335173518e-09
35.000000   0.217515   1.037930196042e-09
35.000000   0.257498   4.160718821989e-10
35.000000   0.297424   1.858540492037e-10
35.000000   0.337283   9.206970516970e-11
35.000000   0.386606   4.623457043436e-11
35.000000   0.424376   2.753583174571e-11
35.000000   0.460479   1.789046411173e-11
35.000000   0.504014   1.100606022197e-11
35.000000   0.545171   7.335490231522e-12
35.000000   0.582414   5.025705445836e-12
35.000000   0.621034   3.417051528125e-12
35.000000   0.660158   2.308016187607e-12
35.000000   0.699639   1.554761641551e-12
35.000000   0.739211   1.043904341376e-12
35.000000   0.778864   6.952014277596e-13
35.000000   0.818574   4.600885007797e-13
35.000000   0.858324   3.029137303626e-13
35.000000   0.897995   1.977954288586e-13
35.000000   0.937564   1.285574805761e-13
35.000000   0.977316   8.289814253804e-14
35.000000   1.016958   5.333255758541e-14
35.000000   1.056628   3.435687152842e-14
35.000000   1.096134   2.187002650252e-14
35.000000   1.135249   1.414233230817e-14
35.000000   1.171628   9.622451750407e-15
