#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
55.000000   0.031406   7.117944733350e-07
55.000000   0.062516   1.764573959948e-07
55.000000   0.099516   3.731142589537e-08
55.000000   0.138965   9.356266992971e-09
55.000000   0.178869   2.755128051090e-09
55.000000   0.218409   9.519926374013e-10
55.000000   0.258392   3.759521267462e-10
55.000000   0.298264   1.715756527452e-10
55.000000   0.338509   9.049806898419e-11
55.000000   0.378524   5.449362047931e-11
55.000000   0.418580   3.604381158306e-11
55.000000   0.466315   2.424756099326e-11
55.000000   0.503550   1.820223952913e-11
55.000000   0.541487   1.359215404319e-11
55.000000   0.580184   1.020742526891e-11
55.000000   0.624325   7.382876236517e-12
55.000000   0.661657   5.497269318448e-12
55.000000   0.698799   4.167899702696e-12
55.000000   0.740089   2.972073046814e-12
55.000000   0.778773   2.132973136627e-12
55.000000   0.818674   1.523104324313e-12
55.000000   0.858014   1.078588545562e-12
55.000000   0.897410   7.558128188671e-13
55.000000   0.936512   5.232566301213e-13
55.000000   0.975928   3.519544479039e-13
55.000000   1.015514   2.409689637249e-13
55.000000   1.054031   1.608446338640e-13
55.000000   1.102419   1.057019495655e-13
55.000000   1.132115   6.524310155416e-14
55.000000   1.171384   3.975242987135e-14
