# J.W.V. Ordern and S. Jeshonnek (JVO WJC2) d(e,e p)n theory reduced cross-sections 
# 
# thnq                : 35 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
# pm_avg              : average missing momentum value in central bin (GeV/c) 
# red_theoryXsec_pwia : reduced PWIA theory cross-sections (fm^3) 
# red_theoryXsec_fsi  : reduced FSI  theory cross-sections (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_theoryXsec_pwia[f,2]/    red_theoryXsec_fsi[f,3]/
0.020     0.032     5.3235E+00      5.1521E+00 
0.060     0.062     1.3301E+00      1.2636E+00 
0.100     0.099     2.8315E-01      2.6171E-01 
0.140     0.139     7.0526E-02      6.3312E-02 
0.180     0.178     2.1915E-02      1.9196E-02 
0.220     0.218     7.7897E-03      6.6820E-03 
0.260     0.258     3.1884E-03      2.6933E-03 
0.300     0.297     1.5018E-03      1.2524E-03 
0.340     0.337     8.1122E-04      6.6687E-04 
0.380     0.376     4.9961E-04      4.0416E-04 
0.460     0.464     2.1431E-04      1.6879E-04 
0.500     0.502     1.6158E-04      1.2480E-04 
0.540     0.541     1.2411E-04      9.3983E-05 
0.580     0.582     9.4068E-05      7.0197E-05 
0.620     0.621     7.1566E-05      5.2310E-05 
0.660     0.660     5.3467E-05      3.7970E-05 
0.700     0.700     3.9252E-05      2.7107E-05 
0.740     0.739     2.8408E-05      1.8956E-05 
0.780     0.779     2.0235E-05      1.3092E-05 
0.820     0.819     1.4299E-05      8.8472E-06 
0.860     0.858     9.9950E-06      5.9735E-06 
0.900     0.899     6.9042E-06      4.1243E-06 
0.940     0.938     4.7596E-06      2.8217E-06 
0.980     0.978     3.2659E-06      1.9637E-06 
1.020     1.018     2.2323E-06      1.5121E-06 
1.060     1.058     1.5191E-06      1.1597E-06 
1.140     1.137     6.9953E-07      7.1638E-07 
1.180     1.173     4.9407E-07      5.8640E-07 
