#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
9   1   85.000000   0.020000   0.030713   2540.872221  1.866343630000e-03   1.804495480000e-03    7.345287238669e-07   7.101874171735e-07   80
9   2   85.000000   0.060000   0.061080   2540.080515  4.668710630000e-04   4.415206600000e-04    1.838016788220e-07   1.738215215591e-07   80
9   3   85.000000   0.100000   0.098387   2587.656306  9.869759370000e-05   8.471712490000e-05    3.814169349737e-08   3.273894013806e-08   80
9   4   85.000000   0.140000   0.137084   2657.555606  2.563481900000e-05   2.015048600000e-05    9.646014157568e-09   7.582338429535e-09   80
9   5   85.000000   0.180000   0.176686   2735.503134  7.885990620000e-06   5.303661820000e-06    2.882830043945e-09   1.938824983997e-09   80
9   6   85.000000   0.220000   0.216791   2821.723106  2.792463780000e-06   1.684972880000e-06    9.896306884479e-10   5.971432407443e-10   80
9   7   85.000000   0.260000   0.257164   2903.658333  1.125548240000e-06   9.644232390000e-07    3.876310884129e-10   3.321407439847e-10   80
9   8   85.000000   0.300000   0.297715   2977.838127  5.205204490000e-07   5.129848120000e-07    1.747981007700e-10   1.722675276902e-10   80
9   9   85.000000   0.340000   0.337714   3041.125818  2.803855540000e-07   4.444171490000e-07    9.219794601737e-11   1.461357324875e-10   80
9   10   85.000000   0.380000   0.377337   3130.130704  1.740088910000e-07   2.966923710000e-07    5.559157346932e-11   9.478593677282e-11   80
9   11   85.000000   0.420000   0.415198   3248.727607  1.215786110000e-07   2.369003300000e-07    3.742345487447e-11   7.292095818977e-11   80
9   12   85.000000   0.460000   0.452612   3394.508915  9.067074950000e-08   1.543533350000e-07    2.671100644318e-11   4.547147727847e-11   80
9   13   85.000000   0.500000   0.489415   3632.948397  7.177395370000e-08   1.192693110000e-07    1.975639228987e-11   3.282989406029e-11   80
