# exp. cross sections as a function of missing momentum 
#
# theta_nq = 35.0 
#
# Averaged for all contributing bins
#
# p_miss_av     : fm^-1, missing momentum
# delta_rho     : fm^3, total error in reduced cross section (momentum distribution) 
# delta_rho1    : fm^3, total error in reduced cross section including chi2 of averaging 
#
# Kinematics and cross section for each contributing bin: 
#
#  th_e         : electron scattering angle (deg)
#  Ei           : incident energy (MeV)
#  omega        : energy transfer (MeV) 
#  qlab         : 3-momentum transfer in lab (MeV/c)
#  cos_phi      : cos(phi), phi reaction plane angle
#  pf           : final proton momentum (MeV/c)
#  p_miss       : averaged missing momentum (MeV/c)
#  th_nq        : angle between recoiling neutron and qlab
#  sig_exp      : exp. cross section for this bin (ub/(MeV Sr^2))
#  dsig_exp     : error in exp cross section for this bin (ub/(MeV Sr^2))
#  sig_red_exp  : exp. red. cross section (rho) for this bin (fm^3)
#  dsig_red_exp : error in red. cross section (drho) for this bin (fm^3)
#  bc           : bin centering correction factor sig_exp * bc = exp. cross section at avg. kinematics
#
#! Nr[i,0]/ p_miss_av[f,1]/ rho[f,2]/ delta_rho[f,3]/ delta_rho1[f,4]/ th_e[f,5]/ Ei[f,6]/ omega[f,7]/ qlab[f,8]/ cos_phi[f, 9]/ pf[f,10]/ p_miss[f,11]/ th_nq[f,12]/ sig_exp[f,13]/ dsig_exp[f,14]/ bc[f,15]/ sig_red_exp[f,16]/ 
0 0.133  6.757e+00  5.272e-01  5.272e-01 27.577 5008.410 1857.809 2652.725 0.06551 2631.170   27.344  37.793  5.838e-01  3.732e-02 1.05404  6.757e+00
1 0.284  1.593e+00  1.015e-01  2.396e-01 27.747 5008.410 1836.215 2650.579 0.33295 2606.980   54.447  36.443  1.538e-01  9.308e-03 1.08169  1.869e+00
1 0.284  1.593e+00  1.015e-01  2.396e-01 27.407 5008.480 1802.396 2617.852 -0.33829 2570.779   58.062  35.460  1.287e-01  8.611e-03 1.12676  1.403e+00
2 0.454  4.103e-01  3.679e-02  2.063e-02 27.810 5008.410 1800.185 2636.755 0.72762 2565.922   88.338  36.116  3.329e-02  4.116e-03 1.03952  4.226e-01
2 0.454  4.103e-01  3.679e-02  2.063e-02 27.718 5008.480 1789.714 2627.367 -0.24141 2554.606   89.969  35.446  3.464e-02  3.461e-03 1.06067  4.030e-01
3 0.736  5.169e-02  3.945e-03  2.486e-03 25.325 5008.480 1531.470 2385.943 -0.88566 2270.353  143.678  35.400  8.959e-03  7.729e-04 1.05330  5.262e-02
3 0.736  5.169e-02  3.945e-03  2.486e-03 24.963 5008.590 1494.672 2349.988 -0.78014 2229.909  147.150  34.260  9.420e-03  8.357e-04 1.03946  5.078e-02
4 0.904  1.669e-02  1.191e-03  1.296e-03 25.110 5008.590 1479.359 2351.476 -0.57907 2207.549  178.121  34.797  2.825e-03  2.207e-04 1.04681  1.576e-02
4 0.904  1.669e-02  1.191e-03  1.296e-03 25.879 5008.480 1545.202 2422.081 -0.84606 2278.709  179.167  35.559  2.725e-03  2.148e-04 1.05839  1.790e-02
5 1.101  6.675e-03  5.333e-04  6.061e-04 26.403 5008.480 1556.867 2455.684 -0.81392 2282.906  216.916  35.643  9.997e-04  9.120e-05 1.03328  7.265e-03
