#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
5   1   45.000000   0.020000   0.031473   2432.394208  1.748471680000e-03   1.687924190000e-03    7.188274311168e-07   6.939352940607e-07   80
5   2   45.000000   0.060000   0.062411   2341.379568  4.094733890000e-04   3.869846500000e-04    1.748855224485e-07   1.652806128869e-07   80
5   3   45.000000   0.100000   0.099207   2206.699842  8.244783020000e-05   7.518647000000e-05    3.736250333225e-08   3.407190618723e-08   80
5   4   45.000000   0.140000   0.138440   2051.036486  1.913185120000e-05   1.656471630000e-05    9.327894130890e-09   8.076266030891e-09   80
5   5   45.000000   0.180000   0.178375   1937.085220  5.372775550000e-06   4.358274460000e-06    2.773639225847e-09   2.249913640867e-09   80
5   6   45.000000   0.220000   0.218252   1830.810189  1.759167080000e-06   1.391549350000e-06    9.608680848345e-10   7.600729766312e-10   80
5   7   45.000000   0.260000   0.257816   1737.996750  6.672184470000e-07   5.159930590000e-07    3.839008599987e-10   2.968895419396e-10   80
5   8   45.000000   0.300000   0.297900   1655.983512  2.890417870000e-07   2.202769520000e-07    1.745438797581e-10   1.330188074964e-10   80
5   9   45.000000   0.340000   0.337974   1597.462413  1.466364410000e-07   1.227142740000e-07    9.179335914679e-11   7.681825437729e-11   80
5   10   45.000000   0.380000   0.378275   1553.758836  8.508700880000e-08   7.690939310000e-08    5.476204339346e-11   4.949892564923e-11   80
5   11   45.000000   0.420000   0.418040   1517.266775  5.483026800000e-08   5.268476900000e-08    3.613752630944e-11   3.472347109163e-11   80
5   11   45.000000   0.420000   0.429843   6734.445189  2.278186980000e-07   2.039120350000e-07    3.382887403585e-11   3.027896571689e-11   580_set1
5   11   45.000000   0.420000   0.431761   6787.685920  2.256902160000e-07   2.023009360000e-07    3.324994978554e-11   2.980410973406e-11   580_set2
5   12   45.000000   0.460000   0.457495   1496.028755  3.791760280000e-08   3.855342420000e-08    2.534550400403e-11   2.577051013969e-11   80
5   12   45.000000   0.460000   0.466157   6381.118830  1.588267830000e-07   1.453319190000e-07    2.489011523391e-11   2.277530365314e-11   580_set1
5   12   45.000000   0.460000   0.466716   6400.294656  1.585908980000e-07   1.458495860000e-07    2.477868700175e-11   2.278794865534e-11   580_set2
5   13   45.000000   0.500000   0.497689   1487.570699  2.711396290000e-08   2.882929890000e-08    1.822700791178e-11   1.938012016463e-11   80
5   13   45.000000   0.500000   0.503380   6155.172357  1.143801810000e-07   1.067430450000e-07    1.858277467566e-11   1.734200747094e-11   580_set2
5   13   45.000000   0.500000   0.503416   6141.017332  1.140949730000e-07   1.072416680000e-07    1.857916479171e-11   1.746317624625e-11   580_set1
5   14   45.000000   0.540000   0.537166   1480.413688  1.980850470000e-08   2.214122000000e-08    1.338038472662e-11   1.495610326997e-11   80
5   14   45.000000   0.540000   0.541691   5958.708919  8.281148230000e-08   7.914613930000e-08    1.389755455850e-11   1.328243087150e-11   580_set1
5   14   45.000000   0.540000   0.541831   5938.981634  8.245918150000e-08   7.957742360000e-08    1.388439745763e-11   1.339916984158e-11   580_set2
5   14   45.000000   0.540000   0.550824   7874.301928  1.016966180000e-07   9.445373710000e-08    1.291500109215e-11   1.199518864830e-11   750_set3
5   14   45.000000   0.540000   0.552924   7960.211540  1.012210250000e-07   9.346979110000e-08    1.271587124178e-11   1.174212401647e-11   750_set2
5   14   45.000000   0.540000   0.553267   7962.234321  1.009863540000e-07   9.408795830000e-08    1.268316780551e-11   1.181677836984e-11   750_set1
5   15   45.000000   0.580000   0.576070   1487.775488  1.473835760000e-08   1.731924150000e-08    9.906304895379e-12   1.164103162049e-11   80
5   15   45.000000   0.580000   0.580739   5782.957071  5.989566450000e-08   5.686486510000e-08    1.035727289078e-11   9.833181260356e-12   580_set1
5   15   45.000000   0.580000   0.580799   5787.628570  5.992103740000e-08   5.797614900000e-08    1.035329698084e-11   1.001725461453e-11   580_set2
5   15   45.000000   0.580000   0.585936   7504.321992  7.449174670000e-08   6.930496540000e-08    9.926512585602e-12   9.235340044561e-12   750_set2
5   15   45.000000   0.580000   0.586168   7484.654725  7.416787740000e-08   6.911630180000e-08    9.909325162625e-12   9.234400829358e-12   750_set1
5   15   45.000000   0.580000   0.586750   7460.743342  7.361301780000e-08   6.838261340000e-08    9.866713600185e-12   9.165656860898e-12   750_set3
5   16   45.000000   0.620000   0.615329   1511.563400  1.106807780000e-08   1.306426900000e-08    7.322271629493e-12   8.642885240540e-12   80
5   16   45.000000   0.620000   0.620062   5597.024126  4.301193360000e-08   4.337868470000e-08    7.684786170600e-12   7.750312259419e-12   580_set2
5   16   45.000000   0.620000   0.620139   5602.926082  4.302762820000e-08   4.259123650000e-08    7.679492388492e-12   7.601605995986e-12   580_set1
5   16   45.000000   0.620000   0.623541   7126.979714  5.322422090000e-08   5.072226000000e-08    7.467991075581e-12   7.116936210771e-12   750_set2
5   16   45.000000   0.620000   0.623554   7152.159697  5.340283360000e-08   5.059898640000e-08    7.466672426568e-12   7.074644379267e-12   750_set3
5   16   45.000000   0.620000   0.623672   7133.298655  5.321445320000e-08   5.077577750000e-08    7.460006341204e-12   7.118134253977e-12   750_set1
5   17   45.000000   0.660000   0.651351   1525.563070  8.427648810000e-09   1.050249860000e-08    5.524287376726e-12   6.884342448064e-12   80
5   17   45.000000   0.660000   0.659422   5424.271053  3.075017970000e-08   3.142845630000e-08    5.668997621900e-12   5.794042368627e-12   580_set1
5   17   45.000000   0.660000   0.659659   5428.223224  3.071854080000e-08   3.127073500000e-08    5.659041556026e-12   5.760768065274e-12   580_set2
5   17   45.000000   0.660000   0.661977   6905.614622  3.833702950000e-08   3.713154790000e-08    5.551573842228e-12   5.377008410186e-12   750_set1
5   17   45.000000   0.660000   0.662033   6909.018961  3.833651540000e-08   3.723274540000e-08    5.548763958588e-12   5.389006110733e-12   750_set2
5   17   45.000000   0.660000   0.662089   6908.038074  3.831948710000e-08   3.738341850000e-08    5.547086841375e-12   5.411582579532e-12   750_set3
