#theta_nq = 35 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03181  2.52470   2.55560   3.59240  20.91120   21.21750
0.06217  3.36320   2.55560   4.22400  6.31770   7.59980
0.09914  4.09330   2.55560   4.82560  4.60290   6.66880
0.13875  4.75780   2.55560   5.40070  5.77260   7.90510
0.17780  5.22480   2.55560   5.81630  10.12420   11.67600
0.21766  5.45510   2.55560   6.02400  15.71950   16.83430
0.25754  5.24670   2.55560   5.83600  28.92300   29.50590
0.29743  4.60010   2.55560   5.26230  57.76450   58.00370
0.33737  3.88910   2.55560   4.65370  70.74080   70.89370
0.38766  3.17300   2.55560   4.07420  100.03350   100.11640
0.42406  0.00000   0.00000   0.00000  nan   nan
0.46038  0.71840   3.73450   3.80300  45.41050   45.56950
0.50522  0.70730   3.73450   3.80090  28.20000   28.45500
0.54507  0.71640   3.73450   3.80260  23.09600   23.40690
0.58242  1.09220   5.38430   5.49390  26.65160   27.21200
0.62089  1.32830   6.05270   6.19670  18.75660   19.75370
0.66017  1.26030   5.38430   5.52980  21.68250   22.37660
0.69960  1.52340   6.05270   6.24140  18.34960   19.38210
0.73908  1.63010   6.05270   6.26830  19.12810   20.12900
0.77892  1.63400   5.44150   5.68160  18.11210   18.98230
0.81867  1.90520   6.05270   6.34540  23.61390   24.45160
0.85839  2.05950   6.05270   6.39340  22.31020   23.20820
0.89810  1.97100   4.76320   5.15490  31.34140   31.76250
0.93788  2.17080   4.76320   5.23450  35.39430   35.77930
0.97768  1.41830   2.72570   3.07270  50.01240   50.10670
1.01733  2.85320   3.88250   4.81820  61.15320   61.34280
1.05688  12.54340   3.87860   13.12940  53.71300   55.29440
1.09702  0.00000   0.00000   0.00000  nan   nan
1.13649  0.00000   4.76320   4.76320  51.59500   51.81440
1.17206  0.00000   2.76480   2.76480  100.02830   100.06650
