#theta_nq = 45 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03147  2.06490   2.55560   3.28560  21.33130   21.58280
0.06241  1.87030   2.55560   3.16690  6.19910   6.96120
0.09921  2.78580   2.55560   3.78040  4.58310   5.94110
0.13844  3.73930   2.55560   4.52920  5.63750   7.23150
0.17838  4.24480   2.55560   4.95470  8.56640   9.89610
0.21825  4.35810   2.55560   5.05220  16.74940   17.49470
0.25782  4.10480   2.55560   4.83540  24.31060   24.78680
0.29790  3.49320   2.55560   4.32820  50.02970   50.21660
0.33797  2.84950   2.55560   3.82760  57.76250   57.88920
0.37827  2.25210   2.55560   3.40630  100.01930   100.07730
0.42655  0.87480   2.63100   2.77270  153.69010   153.71510
0.46346  1.82890   3.66790   4.09860  74.57080   74.68340
0.50150  1.21530   3.73450   3.92730  39.86330   40.05630
0.54628  1.25410   3.73450   3.93950  25.86320   26.16150
0.58274  1.59060   4.62340   4.88940  22.56030   23.08400
0.62105  1.69150   4.64660   4.94490  19.20480   19.83120
0.65942  2.37260   6.05270   6.50110  19.54860   20.60130
0.69700  2.56070   6.05270   6.57200  13.84670   15.32720
0.73983  2.74250   6.05270   6.64500  16.45200   17.74330
0.77941  2.98670   6.05270   6.74940  15.01820   16.46510
0.81913  3.25100   6.05270   6.87050  15.46100   16.91880
0.85887  3.49570   6.05270   6.98960  20.51140   21.66960
0.89857  3.85370   6.05270   7.17540  17.44770   18.86550
0.93835  3.83410   5.45090   6.66430  23.14090   24.08140
0.97818  4.14030   5.38430   6.79210  19.68210   20.82110
1.01796  6.49430   6.05270   8.87750  25.22000   26.73690
1.05769  21.71120   4.62340   22.19810  43.73770   49.04830
1.09750  0.00000   6.05270   6.05270  33.04360   33.59340
1.13705  0.00000   5.44150   5.44150  36.62470   37.02670
1.17301  0.00000   3.87860   3.87860  55.31460   55.45040
