#theta_nq = 25 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03215  3.15050   2.55560   4.05670  24.01160   24.35190
0.06256  4.60930   2.55560   5.27040  6.82260   8.62120
0.09921  4.88460   2.55560   5.51280  5.06420   7.48580
0.13785  5.20590   2.55560   5.79940  6.81620   8.94950
0.17685  5.58590   2.55560   6.14280  10.90560   12.51660
0.21664  5.80570   2.55560   6.34330  17.84470   18.93860
0.25638  5.62910   2.55560   6.18210  44.80380   45.22830
0.29613  4.92810   2.55560   5.55140  100.05210   100.20600
0.33470  0.00000   0.00000   0.00000  nan   nan
0.38644  0.00000   0.00000   0.00000  nan   nan
0.42848  0.00000   0.00000   0.00000  nan   nan
0.46337  0.28590   2.63100   2.64650  100.09750   100.13240
0.50791  0.39880   3.73450   3.75580  57.28540   57.40830
0.54391  0.40870   3.73450   3.75680  42.50950   42.67520
0.58139  0.54340   4.62340   4.65530  39.24890   39.52400
0.62026  0.75130   6.05270   6.09910  31.00620   31.60040
0.65945  0.62400   4.62340   4.66540  40.96810   41.23290
0.69914  0.78720   5.38430   5.44150  53.52140   53.79730
0.73868  0.72440   4.70090   4.75640  35.55880   35.87550
0.77812  0.74400   4.76320   4.82100  42.54760   42.81980
0.81752  0.66370   3.88250   3.93880  84.98580   85.07710
0.85706  0.50070   2.72570   2.77140  70.73560   70.78980
0.89633  0.54160   2.75940   2.81200  100.01900   100.05850
0.93577  0.82440   3.87860   3.96530  58.28440   58.41910
0.97340  0.00000   0.00000   0.00000  nan   nan
1.01571  0.00000   0.00000   0.00000  nan   nan
1.05485  0.00000   0.00000   0.00000  nan   nan
1.09380  0.00000   0.00000   0.00000  nan   nan
1.13226  0.00000   0.00000   0.00000  nan   nan
1.17066  0.00000   0.00000   0.00000  nan   nan
