#theta_nq = 15 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03223  4.08370   2.55560   4.81740  27.92140   28.33390
0.06248  5.28700   2.55560   5.87230  8.42130   10.26660
0.09853  5.20570   2.55560   5.79920  6.36620   8.61150
0.13669  5.18500   2.55560   5.78060  8.78820   10.51890
0.17523  5.34030   2.55560   5.92030  17.23010   18.21880
0.21438  5.58910   2.55560   6.14570  33.63420   34.19110
0.25299  5.50780   2.55560   6.07180  71.06320   71.32210
0.29149  0.00000   0.00000   0.00000  nan   nan
0.32604  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
0.43084  0.00000   0.00000   0.00000  nan   nan
0.46440  0.00000   0.00000   0.00000  nan   nan
0.50080  0.54690   2.63100   2.68730  100.44040   100.47630
0.54056  0.85410   3.73450   3.83090  71.07740   71.18060
0.58030  0.00000   0.00000   0.00000  nan   nan
0.61963  0.00000   0.00000   0.00000  nan   nan
0.66018  0.00000   0.00000   0.00000  nan   nan
0.69967  1.04750   2.65030   2.84980  100.08940   100.13000
0.73815  0.00000   0.00000   0.00000  nan   nan
0.77476  0.00000   0.00000   0.00000  nan   nan
0.81650  0.00000   0.00000   0.00000  nan   nan
0.85270  0.00000   0.00000   0.00000  nan   nan
0.88304  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
