#theta_nq = 75 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03205  4.72450   2.55560   5.37140  29.29890   29.78720
0.06131  5.59510   2.55560   6.15110  8.83210   10.76300
0.09788  4.58190   2.55560   5.24650  6.34130   8.23030
0.13715  3.55120   2.55560   4.37520  7.43030   8.62270
0.17692  2.57880   2.55560   3.63060  10.83350   11.42570
0.21724  1.75310   2.55560   3.09910  17.60780   17.87840
0.25809  1.22950   2.55560   2.83600  22.42440   22.60300
0.29969  0.91740   2.55560   2.71530  35.02880   35.13380
0.33965  0.72300   2.55560   2.65590  38.01270   38.10540
0.37969  0.58390   2.55560   2.62150  35.62310   35.71940
0.41934  0.49820   2.55560   2.60370  70.73840   70.78630
0.45863  0.46820   2.55560   2.59820  100.02480   100.05860
0.49812  0.45430   2.55560   2.59570  57.79390   57.85210
0.53763  0.48220   2.55560   2.60070  100.05370   100.08750
0.57688  0.54850   2.55560   2.61380  100.09230   100.12640
0.61586  0.00000   0.00000   0.00000  nan   nan
0.65361  0.00000   0.00000   0.00000  nan   nan
0.69332  0.00000   0.00000   0.00000  nan   nan
0.73493  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
nan  0.00000   0.00000   0.00000  nan   nan
