#theta_nq = 35 +/- 5 deg :: Q2 = 4.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%],  all(*_err) are absolute. 
#pm_bin: central bin with +/- 0.02 GeV. The pwia/fsi Xsec are from Laget calculation. red_dataXsec_avg with nan values have > 50%% stats uncertainty should be ignored.
#Each of the quantities here have been averaged over overlapping (Pm, thnq) bins for Pm=80, 580(sets 1,2) and 750(sets 1,2,3). Energy and angle units are in [Gev] and [deg]  
#!pm_bin[i,0]/  pm_avg[f,1]/  red_dataXsec_avg[f,2]/   red_dataXsec_avg_stat_err[f,3]/   red_dataXsec_avg_syst_err[f,4]/   red_dataXsec_avg_tot_err[f,5]/   rel_stats_err[f,6]/   rel_norm_syst[f,7]/   rel_kin_syst[f,8]/   rel_syst_tot[f,9]/   rel_tot_err[f,10]/   Ei_avg[f, 11]/   kf_avg[f,12]/   the_avg[f,13]/   pf_avg[f,14]/   nu_avg[f,15]/   Q2_avg[f,16]/   q_avg[f,17]/ 
0.02000         0.03181       4.00473E+00              8.37437E-01                       1.78101E-01                       8.56166E-01                      0.20911               0.03661               0.02525              0.04447              0.21379              10.59957         8.47144         12.29424         2.91642         2.12813         4.11848         2.94065              
0.06000         0.06217       1.18093E+00              7.46079E-02                       5.87088E-02                       9.49371E-02                      0.06318               0.03661               0.03363              0.04971              0.08039              10.59888         8.49685         12.40226         2.88739         2.10203         4.20318         2.93627              
0.10000         0.09914       2.88897E-01              1.32976E-02                       1.58655E-02                       2.07012E-02                      0.04603               0.03661               0.04093              0.05492              0.07166              10.59866         8.51388         12.56772         2.86592         2.08478         4.32418         2.94457              
0.14000         0.13875       7.58109E-02              4.37627E-03                       4.55121E-03                       6.31390E-03                      0.05773               0.03661               0.04758              0.06003              0.08328              10.59855         8.52517         12.75130         2.84869         2.07337         4.45677         2.95899              
0.18000         0.17780       2.00561E-02              2.03052E-03                       1.27955E-03                       2.40005E-03                      0.10124               0.03661               0.05225              0.06380              0.11967              10.59844         8.54598         12.88250         2.81983         2.05246         4.55962         2.96179              
0.22000         0.21766       8.63454E-03              1.35731E-03                       5.67269E-04                       1.47108E-03                      0.15720               0.03661               0.05455              0.06570              0.17037              10.59854         8.57642         12.95767         2.77917         2.02212         4.62923         2.95266              
0.26000         0.25754       2.78087E-03              8.04310E-04                       1.77913E-04                       8.23752E-04                      0.28923               0.03661               0.05247              0.06398              0.29622              10.59857         8.60082         13.03666         2.74310         1.99774         4.69894         2.94787              
0.30000         0.29743       NAN                      4.81961E-04                       4.90531E-05                       4.84450E-04                      0.57764               0.03661               0.04600              0.05879              0.58063              10.59861         8.61901         13.12004         2.71197         1.97960         4.76906         2.94752              
0.34000         0.33737       NAN                      5.31468E-04                       4.01284E-05                       5.32981E-04                      0.70741               0.03661               0.03889              0.05341              0.70942              10.59869         8.63300         13.19797         2.68371         1.96569         4.83350         2.94914              
0.38000         0.37612       NAN                      6.18811E-04                       2.99698E-05                       6.19537E-04                      1.00033               0.03661               0.03173              0.04845              1.00151              10.59872         8.64108         13.26919         2.31687         1.95764         4.89016         2.95339              
0.42000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              2.31916         nan             nan             nan                  
0.46000         0.46420       9.60399E-05              4.36142E-05                       5.13875E-06                       4.39159E-05                      0.45413               0.05302               0.00718              0.05351              0.45727              10.59928         9.07170         11.76523         2.31706         1.52758         4.04012         2.52460              
0.50000         0.50193       5.99945E-05              1.69191E-05                       3.20921E-06                       1.72207E-05                      0.28201               0.05302               0.00707              0.05349              0.28704              10.59910         9.05758         11.88107         2.16389         1.54151         4.11329         2.54746              
0.54000         0.54070       4.24077E-05              9.79437E-06                       2.26897E-06                       1.00538E-05                      0.23096               0.05302               0.00716              0.05350              0.23707              10.59884         9.03785         12.01123         2.08094         1.56100         4.19433         2.57508              
0.58000         0.58204       1.86561E-05              4.97399E-06                       1.41660E-06                       5.17178E-06                      0.26661               0.07514               0.01092              0.07593              0.27722              10.59904         9.06965         11.93596         2.08674         1.52939         4.15721         2.54872              
0.62000         0.62089       2.27245E-05              4.26294E-06                       1.93470E-06                       4.68142E-06                      0.18759               0.08410               0.01328              0.08514              0.20601              10.59895         9.05496         12.02172         2.09252         1.54399         4.21024         2.56780              
0.66000         0.66007       1.23351E-05              2.67315E-06                       9.39833E-07                       2.83355E-06                      0.21671               0.07514               0.01260              0.07619              0.22972              10.59871         9.01431         12.20987         2.09821         1.58440         4.32311         2.61393              
0.70000         0.69960       1.24011E-05              2.27498E-06                       1.05985E-06                       2.50974E-06                      0.18345               0.08410               0.01523              0.08546              0.20238              10.59868         8.99845         12.28329         2.10456         1.60023         4.36736         2.63196              
0.74000         0.73908       9.99662E-06              1.91242E-06                       8.56314E-07                       2.09538E-06                      0.19131               0.08410               0.01630              0.08566              0.20961              10.59854         8.96783         12.41229         2.11167         1.63071         4.44388         2.66501              
0.78000         0.77906       1.15967E-05              2.10069E-06                       8.92749E-07                       2.28252E-06                      0.18115               0.07523               0.01634              0.07698              0.19682              10.59856         8.95459         12.45822         2.11824         1.64397         4.46980         2.67806              
0.82000         0.81867       6.11389E-06              1.44408E-06                       5.27177E-07                       1.53730E-06                      0.23620               0.08410               0.01905              0.08623              0.25144              10.59843         8.90564         12.64507         2.12409         1.69279         4.57903         2.72841              
0.86000         0.85839       7.10916E-06              1.58589E-06                       6.15512E-07                       1.70115E-06                      0.22308               0.08410               0.02059              0.08658              0.23929              10.59837         8.87567         12.74114         2.12790         1.72270         4.63277         2.75687              
0.90000         0.89856       4.18936E-06              1.31300E-06                       2.85649E-07                       1.34371E-06                      0.31341               0.06527               0.01971              0.06818              0.32074              10.59835         8.87910         12.70483         2.13140         1.71925         4.60807         2.75025              
0.94000         0.93832       3.55695E-06              1.25897E-06                       2.44678E-07                       1.28252E-06                      0.35395               0.06527               0.02171              0.06879              0.36057              10.59831         8.84488         12.79685         2.13427         1.75344         4.65675         2.78052              
0.98000         0.97811       NAN                      1.61465E-06                       1.30004E-07                       1.61987E-06                      0.50012               0.03769               0.01418              0.04027              0.50174              10.59819         8.81014         12.87752         2.13931         1.78805         4.69682         2.80962              
1.02000         1.01788       NAN                      1.32459E-06                       1.31033E-07                       1.33105E-06                      0.61156               0.05335               0.02853              0.06050              0.61455              10.59814         8.77539         12.94544         2.14556         1.82275         4.72755         2.83725              
1.06000         1.05771       NAN                      1.63692E-06                       4.15273E-07                       1.68878E-06                      0.53714               0.05325               0.12543              0.13627              0.55415              10.59808         8.73848         13.01003         2.15329         1.85960         4.75452         2.86577              
1.10000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  nan              nan             nan              2.16270         nan             nan             nan                  
1.14000         1.13730       NAN                      2.39708E-06                       3.03216E-07                       2.41618E-06                      0.51602               0.06527               0.00000              0.06527              0.52013              10.59794         8.66099         13.12899         2.17331         1.93696         4.79849         2.92409              
1.18000         1.17326       NAN                      1.31425E-05                       4.96080E-07                       1.31518E-05                      1.00028               0.03776               0.00000              0.03776              1.00100              10.59784         8.62476         13.17673         2.18503         1.97308         4.81304         2.95060              
