# Jean-Marc Laget (JML Paris) d(e,e p)n theory reduced cross-sections ratio to MS CD-Bonn PWIA 
# 
# thnq                : 45 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# R_pwia              : reduced PWIA theory cross-sections / MS_CD-Bonn_PWIA  
# R_fsi               : reduced FSI  theory cross-sections / MS_CD-Bonn_PWIA  
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    R_pwia[f,2]/    R_fsi[f,3]/
0.020     0.031473     9.354058E-01      9.078779E-01 
0.060     0.062411     1.093835E+00      1.069203E+00 
0.100     0.099207     1.059779E+00      9.781617E-01 
0.140     0.138440     1.003485E+00      9.092245E-01 
0.180     0.178375     1.000416E+00      8.786700E-01 
0.220     0.218252     9.983342E-01      8.799396E-01 
0.260     0.257816     1.004143E+00      9.229612E-01 
0.300     0.297900     1.045677E+00      1.017803E+00 
0.340     0.337974     1.121582E+00      1.165693E+00 
0.380     0.378275     1.238937E+00      1.365039E+00 
0.420     0.431761     1.447993E+00      1.575163E+00 
0.460     0.462105     1.501162E+00      1.678257E+00 
0.500     0.503398     1.742686E+00      1.993710E+00 
0.540     0.541761     1.831892E+00      2.013008E+00 
0.580     0.582569     2.070352E+00      2.354005E+00 
0.620     0.621252     2.262592E+00      2.638108E+00 
0.660     0.661036     2.463314E+00      2.992194E+00 
0.700     0.700331     2.580503E+00      3.095060E+00 
0.740     0.739832     2.697763E+00      3.364315E+00 
0.780     0.779405     2.818202E+00      3.686595E+00 
0.820     0.819129     2.904166E+00      4.015794E+00 
0.860     0.858869     2.947325E+00      4.347603E+00 
0.900     0.898569     2.917882E+00      4.681721E+00 
0.940     0.938461     2.825087E+00      4.998708E+00 
0.980     0.978123     2.638025E+00      5.296359E+00 
1.020     1.017957     2.405707E+00      5.586135E+00 
1.060     1.057468     2.083488E+00      5.879087E+00 
1.100     1.097505     1.650000E+00      6.028533E+00 
1.140     1.137289     1.160077E+00      5.875294E+00 
1.180     1.173123     8.246095E-01      5.667689E+00 
