# J.W.V. Orden and S. Jeshonnek (JVO WJC2) d(e,e p)n theory reduced cross-sections to MS CD-Bonn PWIA 
# 
# thnq                : 45 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# R_pwia              : reduced PWIA theory cross-sections / MS_CD-Bonn_PWIA 
# R_fsi               : reduced FSI  theory cross-sections / MS_CD-Bonn_PWIA 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    R_pwia[f,2]/    R_fsi[f,3]/
0.020    0.031473     9.766306E-01      9.445990E-01 
0.060    0.062411     9.760171E-01      9.235119E-01 
0.100    0.099207     9.753022E-01      8.914999E-01 
0.140    0.138440     9.748866E-01      8.559064E-01 
0.180    0.178375     9.766284E-01      8.230750E-01 
0.220    0.218252     9.845355E-01      8.029235E-01 
0.260    0.257816     1.008113E+00      8.088719E-01 
0.300    0.297900     1.060647E+00      8.516274E-01 
0.340    0.337974     1.154113E+00      9.370144E-01 
0.380    0.378275     1.290824E+00      1.060086E+00 
0.420    0.431761     1.457000E+00      1.192344E+00 
0.460    0.462105     1.629625E+00      1.336057E+00 
0.500    0.503398     1.859799E+00      1.516249E+00 
0.540    0.541761     2.123111E+00      1.609255E+00 
0.580    0.582569     2.449254E+00      1.903550E+00 
0.620    0.621252     2.753012E+00      2.150087E+00 
0.660    0.661036     3.056331E+00      2.394741E+00 
0.700    0.700331     3.326757E+00      2.570533E+00 
0.740    0.739832     3.557940E+00      2.761544E+00 
0.780    0.779405     3.820092E+00      2.979979E+00 
0.820    0.819129     4.085384E+00      3.202431E+00 
0.860    0.858869     4.349443E+00      3.428256E+00 
0.900    0.898569     4.623265E+00      3.692817E+00 
0.940    0.938461     4.920953E+00      4.045521E+00 
0.980    0.978123     5.240902E+00      4.573814E+00 
1.020    1.017957     5.587005E+00      5.414108E+00 
1.060    1.057468     5.943101E+00      7.280241E+00 
1.100    1.097505     6.306568E+00      9.644584E+00 
1.140    1.137289     6.661643E+00      1.377412E+01 
1.180    1.173123     6.975230E+00      1.840133E+01 
