# Hall C d(e,e p)n commissioning numerical data red. Xsec ratio to MS CD-Bonn PWIA 
# 
# thnq             : 35 +/- 5 deg 
# pm_bin           : central missing momentum bin (GeV/c) 
 # pm_avg           : average missing momentum value in central bin (GeV/c) 
# R                : reduced data cross-sections / MS_CD-Bonn_PWIA 
# R_err            : reduced data cross-sections / MS_CD_Bonn_PWIA total error 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    R[f,2]/    R_err[f,3]/
0.020     0.031807     7.346204E-01      1.588251E-01 
0.060     0.062170     8.660565E-01      7.500220E-02 
0.100     0.099140     9.934250E-01      7.804280E-02 
0.140     0.138748     1.044185E+00      9.323909E-02 
0.180     0.177804     8.886470E-01      1.101245E-01 
0.220     0.217658     1.084572E+00      1.880521E-01 
0.260     0.257537     8.737240E-01      2.603403E-01 
0.300     0.297431     NAN      3.406416E-01 
0.340     0.337372     NAN      7.553194E-01 
0.380     0.376119     NAN      1.543744E+00 
0.420     0.424064     NAN      NAN 
0.460     0.464195     7.298601E-01      3.335114E-01 
0.500     0.501928     6.849091E-01      1.962521E-01 
0.540     0.540699     7.209783E-01      1.704874E-01 
0.580     0.582042     4.829039E-01      1.312863E-01 
0.620     0.620893     8.687495E-01      1.697472E-01 
0.660     0.660069     6.978569E-01      1.557840E-01 
0.700     0.699596     1.043557E+00      1.999076E-01 
0.740     0.739075     1.254738E+00      2.499259E-01 
0.780     0.779055     2.193270E+00      4.150065E-01 
0.820     0.818674     1.745615E+00      4.238755E-01 
0.860     0.858392     3.087554E+00      7.107985E-01 
0.900     0.898556     2.797361E+00      8.901767E-01 
0.940     0.938321     3.658895E+00      1.311075E+00 
0.980     0.978108     NAN      2.586803E+00 
1.020     1.017881     NAN      3.298231E+00 
1.060     1.057711     NAN      6.523129E+00 
1.100     1.097022     NAN      NAN 
1.140     1.137300     NAN      2.251882E+01 
1.180     1.173259     NAN      1.820609E+02 
