# Jean-Marc Laget (JML Paris) d(e,e p)n theory reduced cross-sections ratio to MS CD-Bonn PWIA 
# 
# thnq                : 35 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# R_pwia              : reduced PWIA theory cross-sections / MS_CD-Bonn_PWIA  
# R_fsi               : reduced FSI  theory cross-sections / MS_CD-Bonn_PWIA  
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    R_pwia[f,2]/    R_fsi[f,3]/
0.020     0.031807     9.376078E-01      8.949039E-01 
0.060     0.062170     1.028626E+00      9.893918E-01 
0.100     0.099140     1.039871E+00      9.680788E-01 
0.140     0.138748     1.047703E+00      9.579673E-01 
0.180     0.177804     1.026871E+00      9.383019E-01 
0.220     0.217658     1.012093E+00      9.316306E-01 
0.260     0.257537     1.003882E+00      9.416533E-01 
0.300     0.297431     1.035095E+00      9.834358E-01 
0.340     0.337372     1.110115E+00      1.050038E+00 
0.380     0.376119     1.053394E+00      9.669477E-01 
0.420     0.424064     1.354442E+00      1.250880E+00 
0.460     0.464195     1.583483E+00      1.449406E+00 
0.500     0.501928     1.673085E+00      1.460257E+00 
0.540     0.540699     1.790038E+00      1.540533E+00 
0.580     0.582042     2.044718E+00      1.749019E+00 
0.620     0.620893     2.223682E+00      1.899612E+00 
0.660     0.660069     2.398747E+00      2.045699E+00 
0.700     0.699596     2.566739E+00      2.200150E+00 
0.740     0.739075     2.710881E+00      2.340681E+00 
0.780     0.779055     2.839772E+00      2.477514E+00 
0.820     0.818674     2.913545E+00      2.590425E+00 
0.860     0.858392     2.943305E+00      2.686321E+00 
0.900     0.898556     2.932412E+00      2.779462E+00 
0.940     0.938321     2.845707E+00      2.850445E+00 
0.980     0.978108     2.676978E+00      2.883692E+00 
1.020     1.017881     2.419987E+00      2.902058E+00 
1.060     1.057711     2.062309E+00      2.854858E+00 
1.100     1.097022     1.648472E+00      2.734341E+00 
1.140     1.137300     1.202896E+00      2.560587E+00 
1.180     1.173259     7.654174E-01      2.335706E+00 
