# Misak Sargsian (MS AV18) d(e,e p)n theory reduced cross-sections ratio to MS CD-Bonn PWIA
# 
# thnq                : 35 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# R_pwia              : reduced PWIA theory cross-sections / MS_CD-Bonn_PWIA 
# R_fsi               : reduced FSI  theory cross-sections / MS_CD-Bonn_PWIA 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    R_pwia[f,2]/   R_fsi[f,3]/
0.020     0.031807     9.985287E-01      9.632580E-01 
0.060     0.062170     9.961288E-01      9.397244E-01 
0.100     0.099140     9.900385E-01      9.051094E-01 
0.140     0.138748     9.785337E-01      8.722180E-01 
0.180     0.177804     9.618924E-01      8.306494E-01 
0.220     0.217658     9.435839E-01      7.877370E-01 
0.260     0.257537     9.347912E-01      7.705290E-01 
0.300     0.297431     9.515081E-01      8.094415E-01 
0.340     0.337372     1.008059E+00      8.788516E-01 
0.380     0.376119     1.104101E+00      9.730398E-01 
0.420     0.424064     1.275736E+00      1.137748E+00 
0.460     0.464195     1.448662E+00      1.322503E+00 
0.500     0.501928     1.623720E+00      1.443018E+00 
0.540     0.540699     1.817106E+00      1.562223E+00 
0.580     0.582042     2.028495E+00      1.718836E+00 
0.620     0.620893     2.232143E+00      1.841754E+00 
0.660     0.660069     2.443412E+00      1.953985E+00 
0.700     0.699596     2.663540E+00      2.100892E+00 
0.740     0.739075     2.890921E+00      2.233709E+00 
0.780     0.779055     3.130532E+00      2.338894E+00 
0.820     0.818674     3.375114E+00      2.472794E+00 
0.860     0.858392     3.627509E+00      2.629157E+00 
0.900     0.898556     3.882807E+00      2.811385E+00 
0.940     0.938321     4.130145E+00      3.015990E+00 
0.980     0.978108     4.360397E+00      3.303143E+00 
1.020     1.017881     4.553516E+00      3.779374E+00 
1.060     1.057711     4.682702E+00      4.319248E+00 
1.100     1.097022     4.725901E+00      5.030498E+00 
1.140     1.137300     4.624941E+00      5.937069E+00 
1.180     1.173259     4.407295E+00      6.899140E+00 
