# Misak Sargsian (MS AV18) d(e,e p)n theory reduced cross-sections ratio to MS CD-Bonn PWIA
# 
# thnq                : 45 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# R_pwia              : reduced PWIA theory cross-sections / MS_CD-Bonn_PWIA 
# R_fsi               : reduced FSI  theory cross-sections / MS_CD-Bonn_PWIA 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    R_pwia[f,2]/   R_fsi[f,3]/
0.020     0.031473     9.985426E-01      9.639643E-01 
0.060     0.062411     9.961016E-01      9.413946E-01 
0.100     0.099207     9.900246E-01      9.028310E-01 
0.140     0.138440     9.786367E-01      8.473221E-01 
0.180     0.178375     9.616104E-01      7.800366E-01 
0.220     0.218252     9.433413E-01      7.462088E-01 
0.260     0.257816     9.347348E-01      7.228767E-01 
0.300     0.297900     9.517771E-01      7.253434E-01 
0.340     0.337974     1.009113E+00      8.444868E-01 
0.380     0.378275     1.112200E+00      1.005308E+00 
0.420     0.431761     1.306148E+00      1.202930E+00 
0.460     0.462105     1.439115E+00      1.366392E+00 
0.500     0.503398     1.632829E+00      1.598027E+00 
0.540     0.541761     1.821092E+00      1.770405E+00 
0.580     0.582569     2.029969E+00      1.989645E+00 
0.620     0.621252     2.232458E+00      2.243836E+00 
0.660     0.661036     2.447106E+00      2.531952E+00 
0.700     0.700331     2.664057E+00      2.817848E+00 
0.740     0.739832     2.894137E+00      2.990707E+00 
0.780     0.779405     3.130086E+00      3.310513E+00 
0.820     0.819129     3.376109E+00      3.788670E+00 
0.860     0.858869     3.626957E+00      4.386432E+00 
0.900     0.898569     3.879627E+00      5.078525E+00 
0.940     0.938461     4.127264E+00      5.774312E+00 
0.980     0.978123     4.354983E+00      7.043170E+00 
1.020     1.017957     4.549730E+00      7.560109E+00 
1.060     1.057468     4.681196E+00      8.435968E+00 
1.100     1.097505     4.720856E+00      9.632388E+00 
1.140     1.137289     4.628100E+00      1.022637E+01 
1.180     1.173123     4.413925E+00      1.052835E+01 
