# Hall C d(e,e p)n commissioning numerical data red. Xsec ratio to MS CD-Bonn PWIA 
# 
# thnq             : 45 +/- 5 deg 
# pm_bin           : central missing momentum bin (GeV/c) 
 # pm_avg           : average missing momentum value in central bin (GeV/c) 
# R                : reduced data cross-sections / MS_CD-Bonn_PWIA 
# R_err            : reduced data cross-sections / MS_CD_Bonn_PWIA total error 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    R[f,2]/    R_err[f,3]/
0.020     0.031473     1.107859E+00      2.434922E-01 
0.060     0.062411     9.885713E-01      8.013005E-02 
0.100     0.099207     8.839575E-01      6.407295E-02 
0.140     0.138440     9.304557E-01      7.758987E-02 
0.180     0.178375     9.430443E-01      1.012072E-01 
0.220     0.218252     6.710634E-01      1.206624E-01 
0.260     0.257816     8.973787E-01      2.255316E-01 
0.300     0.297900     NAN      2.823658E-01 
0.340     0.337974     NAN      6.065184E-01 
0.380     0.378275     NAN      8.200422E-01 
0.420     0.431761     NAN      1.560137E+02 
0.460     0.462105     NAN      2.021767E+00 
0.500     0.503398     1.184564E+00      4.761581E-01 
0.540     0.541761     1.191579E+00      3.142949E-01 
0.580     0.582569     1.146405E+00      2.658228E-01 
0.620     0.621252     1.549159E+00      3.090315E-01 
0.660     0.661036     1.360218E+00      2.773928E-01 
0.700     0.700331     2.844864E+00      4.280307E-01 
0.740     0.739832     2.254454E+00      3.945400E-01 
0.780     0.779405     3.381887E+00      5.479837E-01 
0.820     0.819129     4.301829E+00      7.169450E-01 
0.860     0.858869     3.574894E+00      7.674199E-01 
0.900     0.898569     7.558783E+00      1.408899E+00 
0.940     0.938461     7.601868E+00      1.826988E+00 
0.980     0.978123     1.825723E+01      3.793855E+00 
1.020     1.017957     1.744871E+01      4.637130E+00 
1.060     1.057468     NAN      7.836917E+00 
1.100     1.097505     NAN      1.219613E+01 
1.140     1.137289     NAN      2.155287E+01 
1.180     1.173123     NAN      3.501683E+01 
