# Misak Sargsian (MS CD-Bonn) d(e,e p)n theory reduced cross-sections ratio to MS CD-Bonn PWIA 
# 
# thnq                : 35 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# R_pwia              : reduced PWIA theory cross-sections / MS_CD-Bonn_PWIA 
# R_fsi               : reduced FSI  theory cross-sections / MS_CD-Bonn_PWIA 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    R_pwia[f,2]/    R_fsi[f,3]/
0.020     0.031807     1.0      9.636399E-01 
0.060     0.062170     1.0      9.414503E-01 
0.100     0.099140     1.0      9.104405E-01 
0.140     0.138748     1.0      8.851942E-01 
0.180     0.177804     1.0      8.537109E-01 
0.220     0.217658     1.0      8.190389E-01 
0.260     0.257537     1.0      7.975758E-01 
0.300     0.297431     1.0      8.110842E-01 
0.340     0.337372     1.0      8.185037E-01 
0.380     0.376119     1.0      8.290953E-01 
0.420     0.424064     1.0      8.454100E-01 
0.460     0.464195     1.0      8.839012E-01 
0.500     0.501928     1.0      8.776124E-01 
0.540     0.540699     1.0      8.631975E-01 
0.580     0.582042     1.0      8.740449E-01 
0.620     0.620893     1.0      8.697224E-01 
0.660     0.660069     1.0      8.681406E-01 
0.700     0.699596     1.0      8.993318E-01 
0.740     0.739075     1.0      9.343836E-01 
0.780     0.779055     1.0      9.658895E-01 
0.820     0.818674     1.0      1.050099E+00 
0.860     0.858392     1.0      1.185887E+00 
0.900     0.898556     1.0      1.379382E+00 
0.940     0.938321     1.0      1.650111E+00 
0.980     0.978108     1.0      2.047495E+00 
1.020     1.017881     1.0      2.639516E+00 
1.060     1.057711     1.0      3.362886E+00 
1.100     1.097022     1.0      4.217559E+00 
1.140     1.137300     1.0      5.277090E+00 
1.180     1.173259     1.0      6.295015E+00 
