#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
5   17   45.000000   0.660000   0.652840   1521.306367  3.522682470000e-09   3.522682470000e-09    2.315564140408e-12   2.315564140408e-12   80
5   17   45.000000   0.660000   0.659559   5361.035275  1.261233630000e-08   1.261233630000e-08    2.352593417696e-12   2.352593417696e-12   580_set1
5   17   45.000000   0.660000   0.659538   5365.164823  1.259124650000e-08   1.259124650000e-08    2.346851758593e-12   2.346851758593e-12   580_set2
5   17   45.000000   0.660000   0.662034   6876.762823  1.562624800000e-08   1.562624800000e-08    2.272326151447e-12   2.272326151447e-12   750_set1
5   17   45.000000   0.660000   0.661952   6886.218567  1.562557180000e-08   1.562557180000e-08    2.269107732781e-12   2.269107732781e-12   750_set2
5   17   45.000000   0.660000   0.662081   6885.474095  1.561679600000e-08   1.561679600000e-08    2.268078535266e-12   2.268078535266e-12   750_set3
5   18   45.000000   0.700000   0.688496   1512.096056  2.781093120000e-09   2.781093120000e-09    1.839230456931e-12   1.839230456931e-12   80
5   18   45.000000   0.700000   0.699105   5162.327286  8.180635050000e-09   8.180635050000e-09    1.584679660312e-12   1.584679660312e-12   580_set1
5   18   45.000000   0.700000   0.699092   5165.173931  8.164803500000e-09   8.164803500000e-09    1.580741250744e-12   1.580741250744e-12   580_set2
5   18   45.000000   0.700000   0.700975   6670.354759  1.022326850000e-08   1.022326850000e-08    1.532642395999e-12   1.532642395999e-12   750_set2
5   18   45.000000   0.700000   0.701054   6665.276419  1.022151670000e-08   1.022151670000e-08    1.533547306585e-12   1.533547306585e-12   750_set3
5   18   45.000000   0.700000   0.700874   6656.638546  1.021813970000e-08   1.021813970000e-08    1.535029974872e-12   1.535029974872e-12   750_set1
5   19   45.000000   0.740000   0.738839   4977.719052  5.271736530000e-09   5.271736530000e-09    1.059066708050e-12   1.059066708050e-12   580_set2
5   19   45.000000   0.740000   0.738831   4976.313313  5.254873540000e-09   5.254873540000e-09    1.055977228418e-12   1.055977228418e-12   580_set1
5   19   45.000000   0.740000   0.740166   6462.420424  6.676256190000e-09   6.676256190000e-09    1.033089113981e-12   1.033089113981e-12   750_set3
5   19   45.000000   0.740000   0.740225   6458.496269  6.666756700000e-09   6.666756700000e-09    1.032245962888e-12   1.032245962888e-12   750_set1
5   19   45.000000   0.740000   0.740328   6459.941825  6.663721050000e-09   6.663721050000e-09    1.031545055748e-12   1.031545055748e-12   750_set2
5   20   45.000000   0.780000   0.778515   4809.077106  3.395481970000e-09   3.395481970000e-09    7.060568785149e-13   7.060568785149e-13   580_set1
5   20   45.000000   0.780000   0.778539   4802.016637  3.394867990000e-09   3.394867990000e-09    7.069671445622e-13   7.069671445622e-13   580_set2
5   20   45.000000   0.780000   0.779576   6273.470636  4.333191550000e-09   4.333191550000e-09    6.907167979928e-13   6.907167979928e-13   750_set1
