#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
25.000000   0.032283   6.960830741243e-07
25.000000   0.062727   1.738074707134e-07
25.000000   0.098863   3.780280529628e-08
25.000000   0.137805   9.737867880332e-09
25.000000   0.176966   3.018834630854e-09
25.000000   0.216475   1.065041075435e-09
25.000000   0.256413   4.279280712279e-10
25.000000   0.296158   1.910121931915e-10
25.000000   0.334908   9.692867069639e-11
25.000000   0.383698   4.563175312030e-11
25.000000   0.428491   2.625053197648e-11
25.000000   0.463468   1.750427289486e-11
25.000000   0.508111   1.068360013957e-11
25.000000   0.544197   7.366606306411e-12
25.000000   0.581639   5.044567792665e-12
25.000000   0.620272   3.414503258911e-12
25.000000   0.659711   2.308165211121e-12
25.000000   0.699209   1.547719731733e-12
25.000000   0.738689   1.039302451588e-12
25.000000   0.778224   6.939481620384e-13
25.000000   0.817495   4.605160473726e-13
25.000000   0.856850   3.031475148117e-13
25.000000   0.896250   1.988165534306e-13
25.000000   0.935205   1.294562689766e-13
25.000000   0.973032   8.561150819536e-14
25.000000   1.015164   5.377693839977e-14
25.000000   1.054487   3.487260181486e-14
25.000000   1.094301   2.271414425217e-14
25.000000   1.131913   1.497778298724e-14
25.000000   1.172408   1.015260557130e-14
