#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
15.000000   0.031418   7.040387069664e-07
15.000000   0.062187   1.738962564813e-07
15.000000   0.098789   3.878330384178e-08
15.000000   0.137024   9.977302940454e-09
15.000000   0.175454   3.049728917678e-09
15.000000   0.214408   1.063518692115e-09
15.000000   0.254022   4.303307504413e-10
15.000000   0.292241   1.998851825555e-10
15.000000   0.328839   1.101259545739e-10
15.000000   0.429415   3.301720092289e-11
15.000000   0.464523   2.490205864051e-11
15.000000   0.501319   1.872060422932e-11
15.000000   0.540532   1.381191725151e-11
15.000000   0.580156   1.024230780651e-11
15.000000   0.625419   7.616596903072e-12
15.000000   0.660452   5.573569894333e-12
15.000000   0.700006   4.064202338171e-12
15.000000   0.738284   2.997243968104e-12
15.000000   0.775712   2.225503702645e-12
15.000000   0.816871   1.563252646628e-12
15.000000   0.851624   1.136713435393e-12
15.000000   0.884410   8.583175953198e-13
