#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
3   1   25.000000   0.020000   0.032283   2406.409669  1.675061040000e-03   1.675061040000e-03    6.960830741243e-07   6.960830741243e-07   80
3   2   25.000000   0.060000   0.062727   2280.876877  3.964334410000e-04   3.964334410000e-04    1.738074707134e-07   1.738074707134e-07   80
3   3   25.000000   0.100000   0.098863   2042.297295  7.720456700000e-05   7.720456700000e-05    3.780280529628e-08   3.780280529628e-08   80
3   4   25.000000   0.140000   0.137805   1770.851701  1.724431990000e-05   1.724431990000e-05    9.737867880332e-09   9.737867880332e-09   80
3   5   25.000000   0.180000   0.176966   1625.392355  4.906790730000e-06   4.906790730000e-06    3.018834630854e-09   3.018834630854e-09   80
3   6   25.000000   0.220000   0.216475   1545.222328  1.645725250000e-06   1.645725250000e-06    1.065041075435e-09   1.065041075435e-09   80
3   7   25.000000   0.260000   0.256413   1489.661798  6.374681000000e-07   6.374681000000e-07    4.279280712279e-10   4.279280712279e-10   80
3   8   25.000000   0.300000   0.296158   1444.209013  2.758615310000e-07   2.758615310000e-07    1.910121931915e-10   1.910121931915e-10   80
3   9   25.000000   0.340000   0.334908   1400.393372  1.357382680000e-07   1.357382680000e-07    9.692867069639e-11   9.692867069639e-11   80
3   10   25.000000   0.380000   0.369991   1348.507904  7.536026840000e-08   7.536026840000e-08    5.588418738701e-11   5.588418738701e-11   80
3   10   25.000000   0.380000   0.391488   7065.910314  2.956290540000e-07   2.956290540000e-07    4.183877814218e-11   4.183877814218e-11   580_set1
3   10   25.000000   0.380000   0.389614   6982.412191  2.735171020000e-07   2.735171020000e-07    3.917229383171e-11   3.917229383171e-11   580_set2
3   11   25.000000   0.420000   0.428959   6403.100359  1.691822260000e-07   1.691822260000e-07    2.642192321134e-11   2.642192321134e-11   580_set2
3   11   25.000000   0.420000   0.428023   6432.204445  1.677463650000e-07   1.677463650000e-07    2.607914074162e-11   2.607914074162e-11   580_set1
3   12   25.000000   0.460000   0.463444   6003.090216  1.054573580000e-07   1.054573580000e-07    1.756717860393e-11   1.756717860393e-11   580_set1
3   12   25.000000   0.460000   0.463491   6011.347097  1.048461120000e-07   1.048461120000e-07    1.744136718579e-11   1.744136718579e-11   580_set2
3   13   25.000000   0.500000   0.501092   5603.108174  6.500182300000e-08   6.500182300000e-08    1.160102946105e-11   1.160102946105e-11   580_set1
3   13   25.000000   0.500000   0.501101   5596.767016  6.516169010000e-08   6.516169010000e-08    1.164273765796e-11   1.164273765796e-11   580_set2
3   13   25.000000   0.500000   0.510996   8042.805627  8.345001190000e-08   8.345001190000e-08    1.037573401250e-11   1.037573401250e-11   750_set3
3   13   25.000000   0.500000   0.513887   8027.301147  7.908519360000e-08   7.908519360000e-08    9.852027742793e-12   9.852027742793e-12   750_set2
3   13   25.000000   0.500000   0.513479   7914.842388  7.872475680000e-08   7.872475680000e-08    9.946471823540e-12   9.946471823540e-12   750_set1
3   14   25.000000   0.540000   0.540296   5122.966136  3.947349270000e-08   3.947349270000e-08    7.705202738432e-12   7.705202738432e-12   580_set1
3   14   25.000000   0.540000   0.540326   5122.969703  3.938043490000e-08   3.938043490000e-08    7.687032557881e-12   7.687032557881e-12   580_set2
3   14   25.000000   0.540000   0.547366   7366.984649  5.310685560000e-08   5.310685560000e-08    7.208764254342e-12   7.208764254342e-12   750_set3
3   14   25.000000   0.540000   0.546418   7378.885319  5.271647130000e-08   5.271647130000e-08    7.144232363154e-12   7.144232363154e-12   750_set1
3   14   25.000000   0.540000   0.546580   7399.666388  5.244735260000e-08   5.244735260000e-08    7.087799618244e-12   7.087799618244e-12   750_set2
3   15   25.000000   0.580000   0.579726   4635.575779  2.388440630000e-08   2.388440630000e-08    5.152414163565e-12   5.152414163565e-12   580_set2
3   15   25.000000   0.580000   0.579796   4636.049208  2.385769230000e-08   2.385769230000e-08    5.146125769940e-12   5.146125769940e-12   580_set1
3   15   25.000000   0.580000   0.582825   6846.495515  3.409614410000e-08   3.409614410000e-08    4.980087115415e-12   4.980087115415e-12   750_set2
3   15   25.000000   0.580000   0.582986   6858.822373  3.415268660000e-08   3.415268660000e-08    4.979380532501e-12   4.979380532501e-12   750_set3
3   15   25.000000   0.580000   0.582864   6853.744988  3.402768820000e-08   3.402768820000e-08    4.964831381906e-12   4.964831381906e-12   750_set1
3   16   25.000000   0.620000   0.619639   4204.721772  1.453898750000e-08   1.453898750000e-08    3.457776349631e-12   3.457776349631e-12   580_set1
3   16   25.000000   0.620000   0.619482   4208.262021  1.449804940000e-08   1.449804940000e-08    3.445139425172e-12   3.445139425172e-12   580_set2
3   16   25.000000   0.620000   0.620723   6335.672745  2.152120880000e-08   2.152120880000e-08    3.396830875929e-12   3.396830875929e-12   750_set1
3   16   25.000000   0.620000   0.620638   6344.260989  2.148266320000e-08   2.148266320000e-08    3.386156912089e-12   3.386156912089e-12   750_set3
3   16   25.000000   0.620000   0.620878   6340.929330  2.147427200000e-08   2.147427200000e-08    3.386612731733e-12   3.386612731733e-12   750_set2
3   17   25.000000   0.660000   0.659174   3895.982442  9.092993100000e-09   9.092993100000e-09    2.333940985456e-12   2.333940985456e-12   580_set1
3   17   25.000000   0.660000   0.658927   3907.557703  9.087867100000e-09   9.087867100000e-09    2.325715393281e-12   2.325715393281e-12   580_set2
3   17   25.000000   0.660000   0.660251   5794.335699  1.333343240000e-08   1.333343240000e-08    2.301114932347e-12   2.301114932347e-12   750_set2
3   17   25.000000   0.660000   0.660064   5805.199348  1.331699080000e-08   1.331699080000e-08    2.293976485853e-12   2.293976485853e-12   750_set1
3   17   25.000000   0.660000   0.660141   5801.079403  1.326172150000e-08   1.326172150000e-08    2.286078258667e-12   2.286078258667e-12   750_set3
3   18   25.000000   0.700000   0.698347   3690.194821  5.793975200000e-09   5.793975200000e-09    1.570100084426e-12   1.570100084426e-12   580_set1
3   18   25.000000   0.700000   0.698168   3697.981261  5.796756600000e-09   5.796756600000e-09    1.567546234248e-12   1.567546234248e-12   580_set2
3   18   25.000000   0.700000   0.699815   5297.746748  8.121551950000e-09   8.121551950000e-09    1.533020043487e-12   1.533020043487e-12   750_set2
3   18   25.000000   0.700000   0.699810   5290.427731  8.119225500000e-09   8.119225500000e-09    1.534701145698e-12   1.534701145698e-12   750_set3
3   18   25.000000   0.700000   0.699904   5293.619984  8.116343060000e-09   8.116343060000e-09    1.533231150806e-12   1.533231150806e-12   750_set1
3   19   25.000000   0.740000   0.737300   3542.744976  3.739842210000e-09   3.739842210000e-09    1.055634045164e-12   1.055634045164e-12   580_set1
3   19   25.000000   0.740000   0.737423   3549.035445  3.740050360000e-09   3.740050360000e-09    1.053821641953e-12   1.053821641953e-12   580_set2
3   19   25.000000   0.740000   0.739586   4837.206421  4.977957350000e-09   4.977957350000e-09    1.029097565154e-12   1.029097565154e-12   750_set2
3   19   25.000000   0.740000   0.739609   4831.275889  4.977882840000e-09   4.977882840000e-09    1.030345389990e-12   1.030345389990e-12   750_set1
3   19   25.000000   0.740000   0.739526   4837.262152  4.970836450000e-09   4.970836450000e-09    1.027613615678e-12   1.027613615678e-12   750_set3
3   20   25.000000   0.780000   0.776790   3431.446749  2.423857340000e-09   2.423857340000e-09    7.063660074883e-13   7.063660074883e-13   580_set1
3   20   25.000000   0.780000   0.776554   3429.794242  2.418411900000e-09   2.418411900000e-09    7.051186541703e-13   7.051186541703e-13   580_set2
3   20   25.000000   0.780000   0.779109   4444.258049  3.054814650000e-09   3.054814650000e-09    6.873621235129e-13   6.873621235129e-13   750_set3
3   20   25.000000   0.780000   0.779416   4441.483723  3.046436470000e-09   3.046436470000e-09    6.859051299061e-13   6.859051299061e-13   750_set2
3   20   25.000000   0.780000   0.779251   4440.784240  3.041887890000e-09   3.041887890000e-09    6.849888951146e-13   6.849888951146e-13   750_set1
3   21   25.000000   0.820000   0.815861   3322.451720  1.554247810000e-09   1.554247810000e-09    4.678014734252e-13   4.678014734252e-13   580_set1
3   21   25.000000   0.820000   0.815881   3331.908755  1.551399940000e-09   1.551399940000e-09    4.656189752111e-13   4.656189752111e-13   580_set2
3   21   25.000000   0.820000   0.818590   4159.523506  1.901326000000e-09   1.901326000000e-09    4.571018765148e-13   4.571018765148e-13   750_set2
3   21   25.000000   0.820000   0.818493   4166.303807  1.900480480000e-09   1.900480480000e-09    4.561550400638e-13   4.561550400638e-13   750_set1
3   21   25.000000   0.820000   0.818648   4158.939388  1.896072410000e-09   1.896072410000e-09    4.559028716482e-13   4.559028716482e-13   750_set3
3   22   25.000000   0.860000   0.855278   3217.086332  9.911084780000e-10   9.911084780000e-10    3.080764318140e-13   3.080764318140e-13   580_set1
3   22   25.000000   0.860000   0.855456   3219.223456  9.814543880000e-10   9.814543880000e-10    3.048730233904e-13   3.048730233904e-13   580_set2
3   22   25.000000   0.860000   0.857894   3962.446504  1.193520500000e-09   1.193520500000e-09    3.012079781507e-13   3.012079781507e-13   750_set3
3   22   25.000000   0.860000   0.857818   3961.717935  1.190799520000e-09   1.190799520000e-09    3.005765527828e-13   3.005765527828e-13   750_set1
3   22   25.000000   0.860000   0.857805   3965.884720  1.193745530000e-09   1.193745530000e-09    3.010035879207e-13   3.010035879207e-13   750_set2
3   23   25.000000   0.900000   0.894438   3107.742952  6.248959110000e-10   6.248959110000e-10    2.010770905611e-13   2.010770905611e-13   580_set1
3   23   25.000000   0.900000   0.895111   3113.454136  6.230100410000e-10   6.230100410000e-10    2.001025272209e-13   2.001025272209e-13   580_set2
3   23   25.000000   0.900000   0.897210   3804.220589  7.520515360000e-10   7.520515360000e-10    1.976887297689e-13   1.976887297689e-13   750_set2
3   23   25.000000   0.900000   0.897374   3800.789820  7.512884910000e-10   7.512884910000e-10    1.976664131878e-13   1.976664131878e-13   750_set1
3   23   25.000000   0.900000   0.897116   3803.803099  7.514337190000e-10   7.514337190000e-10    1.975480064143e-13   1.975480064143e-13   750_set3
3   24   25.000000   0.940000   0.932741   3009.433577  3.971854170000e-10   3.971854170000e-10    1.319801241122e-13   1.319801241122e-13   580_set1
3   24   25.000000   0.940000   0.934099   3019.824276  3.889443760000e-10   3.889443760000e-10    1.287970227576e-13   1.287970227576e-13   580_set2
3   24   25.000000   0.940000   0.936335   3663.877618  4.725415780000e-10   4.725415780000e-10    1.289730791439e-13   1.289730791439e-13   750_set3
3   24   25.000000   0.940000   0.936497   3665.467672  4.715461110000e-10   4.715461110000e-10    1.286455517265e-13   1.286455517265e-13   750_set2
3   24   25.000000   0.940000   0.936352   3658.395796  4.715144170000e-10   4.715144170000e-10    1.288855671427e-13   1.288855671427e-13   750_set1
3   25   25.000000   0.980000   0.970011   2921.294957  2.599644070000e-10   2.599644070000e-10    8.898944160947e-14   8.898944160947e-14   580_set1
3   25   25.000000   0.980000   0.968511   2936.871038  2.594238900000e-10   2.594238900000e-10    8.833342923245e-14   8.833342923245e-14   580_set2
3   25   25.000000   0.980000   0.975545   3523.693207  2.942750290000e-10   2.942750290000e-10    8.351323787650e-14   8.351323787650e-14   750_set1
3   25   25.000000   0.980000   0.975558   3527.288595  2.943729050000e-10   2.943729050000e-10    8.345586052054e-14   8.345586052054e-14   750_set2
3   25   25.000000   0.980000   0.975534   3523.601175  2.951564670000e-10   2.951564670000e-10    8.376557173784e-14   8.376557173784e-14   750_set3
3   26   25.000000   1.020000   1.015506   3396.134430  1.827344680000e-10   1.827344680000e-10    5.380660623614e-14   5.380660623614e-14   750_set2
