#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
65.000000   0.030768   7.279541885538e-07
65.000000   0.061619   1.830796160766e-07
65.000000   0.098843   3.898862767129e-08
65.000000   0.137787   9.784315233543e-09
65.000000   0.177782   2.932368587227e-09
65.000000   0.218298   1.025024399037e-09
65.000000   0.258546   4.008834397239e-10
65.000000   0.298521   1.788179104961e-10
65.000000   0.339024   8.830954804628e-11
65.000000   0.379028   4.832055339684e-11
65.000000   0.419106   2.859176393035e-11
65.000000   0.458991   1.766595569123e-11
65.000000   0.498704   1.135715920479e-11
65.000000   0.538103   7.481945128308e-12
65.000000   0.577374   4.985387267070e-12
65.000000   0.616098   3.368588811875e-12
65.000000   0.654468   2.284255987514e-12
65.000000   0.693382   1.542335394840e-12
65.000000   0.731536   9.837243270089e-13
65.000000   0.769037   8.489748645526e-13
