#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
85.000000   0.031139   7.427442599458e-07
85.000000   0.061659   1.868155510010e-07
85.000000   0.098637   3.889696677586e-08
85.000000   0.137592   9.928442089399e-09
85.000000   0.177537   3.019818112532e-09
85.000000   0.217144   1.059537499538e-09
85.000000   0.256860   4.187730921354e-10
85.000000   0.296644   1.856544188767e-10
85.000000   0.336661   9.213999284975e-11
85.000000   0.376195   5.027855246366e-11
85.000000   0.415274   3.027614572140e-11
85.000000   0.452353   1.907826048769e-11
85.000000   0.489753   1.252507528565e-11
