#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
35.000000   0.031358   7.063803872098e-07
35.000000   0.062466   1.777138588909e-07
35.000000   0.099042   3.746245209808e-08
35.000000   0.138549   9.256026048503e-09
35.000000   0.177689   2.822514753664e-09
35.000000   0.217515   9.793741837360e-10
35.000000   0.257498   3.889403252108e-10
35.000000   0.297424   1.768416371679e-10
35.000000   0.337283   9.281173511976e-11
35.000000   0.386606   5.230698268315e-11
35.000000   0.424376   3.512827253109e-11
35.000000   0.460479   2.560941366237e-11
35.000000   0.504014   1.804307576148e-11
35.000000   0.545171   1.349383212008e-11
35.000000   0.582414   1.020420049924e-11
35.000000   0.621034   7.627326314237e-12
35.000000   0.660158   5.640669243055e-12
35.000000   0.699639   4.141163804808e-12
35.000000   0.739211   3.017842135810e-12
35.000000   0.778864   2.175778382848e-12
35.000000   0.818574   1.552857805245e-12
35.000000   0.858324   1.098828107600e-12
35.000000   0.897995   7.674333995792e-13
35.000000   0.937564   5.306209205794e-13
35.000000   0.977316   3.612771508508e-13
35.000000   1.016958   2.427285543407e-13
35.000000   1.056628   1.608171836444e-13
35.000000   1.096134   1.033557746281e-13
35.000000   1.135249   6.545980844328e-14
35.000000   1.171628   4.248743409164e-14
