#E12-10-003: thnq = 45 deg
#wave function: WJC2   WJC2 AV18   AV18 CD Bonn CD Bonn,
#PWBA: Plane Wave Born Approximation (includes possibility of neutron as well as proton being knockec out as plane waves)
#DWBA: Distorted Wave Born Approximation, PWBA + FSI,  includes FSI effects which causes a distortion of the plane waves
#form factor:   GKex05 AMT 
#Units: pm(GeV) Eb(MeV) Q2(GeV^2) phi(degree) s(GeV^2) Tlab(GeV)  5-fold diff. Xsec units: sig_exp(nb/MeV/sr^2), th_e(deg), pf(MeV)
#! Nr[i,0]/ pm_avg[f,1]/ Eb[f,2]/ Q2[f,3]/    phi[f,4]/    s[f,5]/      Tlab[f,6]/   x[f,7]/      sig_exp[f,8]/ dsig_exp[f,9]/  WJC2_GKex05_PWBA[f,10]/ WJC2_GKex05_DWBA[f,11]/ WJC2_AMT_PWBA[f,12]/ WJC2_AMT_DWBA[f,13]/ AV18_GKex05_PWBA[f,14]/ AV18_GKex05_DWBA[f,15]/  AV18_AMT_PWBA[f,16]/ AV18_AMT_DWBA[f,17]/  CD_GKex05_PWBA[f,18]/ CD_GKex05_DWBA[f,19]/ CD_AMT_PWBA[f,20]/ CD_AMT_DWBA[f,21]/ mean[f,22]/ std_dev[f,23]/ th_e[f,24]/ pf[f,25]/
0   3.1473E-02  10599.418    4.1066E+00   9.6810E+01   7.4084E+00   2.0674E+00   1.0258E+00   2.0090E+00   3.6050E-01   1.7111E+00   1.6550E+00   1.8186E+00   1.7588E+00   1.7355E+00   1.6789E+00   1.8445E+00   1.7842E+00   1.7388E+00   1.6802E+00   1.8480E+00   1.7855E+00      1.7533E+00   6.4962E-02   12.279     2920.355                                                                                                                                        
1   6.2411E-02  10598.876    4.1869E+00   1.0184E+02   7.2588E+00   1.9877E+00   1.0550E+00   3.7770E-01   2.0300E-02   4.0140E-01   3.7980E-01   4.2697E-01   4.0394E-01   4.0611E-01   3.8440E-01   4.3198E-01   4.0883E-01   4.0769E-01   3.8502E-01   4.3366E-01   4.0949E-01      4.0661E-01   1.7881E-02	 12.386     2899.328
2   9.9207E-02  10598.653    4.2782E+00   9.2630E+01   7.0937E+00   1.8998E+00   1.0881E+00   7.0510E-02   3.0040E-03   8.1278E-02   7.4293E-02   8.6539E-02   7.9084E-02   8.1812E-02   7.4824E-02   8.7107E-02   7.9649E-02   8.2605E-02   7.5201E-02   8.7952E-02   8.0047E-02      8.0866E-02   4.6959E-03	 12.507     2875.305
3   1.3844E-01  10598.538    4.3695E+00   8.1061E+01   6.9323E+00   1.8138E+00   1.1214E+00   1.7860E-02   9.8310E-04   1.9075E-02   1.6747E-02   2.0328E-02   1.7840E-02   1.9021E-02   1.6710E-02   2.0271E-02   1.7801E-02   1.9428E-02   1.6924E-02   2.0705E-02   1.8028E-02      1.8573E-02   1.4349E-03	 12.627     2850.492
4   1.7838E-01  10598.680    4.4342E+00   7.0368E+01   6.7732E+00   1.7291E+00   1.1519E+00   5.2090E-03   4.4310E-04   5.4618E-03   4.6031E-03   5.8246E-03   4.9049E-03   5.3684E-03   4.5253E-03   5.7250E-03   4.8219E-03   5.5804E-03   4.6393E-03   5.9510E-03   4.9430E-03      5.1957E-03   5.1285E-04	 12.701     2816.993
5   2.1825E-01  10598.668    4.4969E+00   6.3211E+01   6.6347E+00   1.6553E+00   1.1799E+00   1.2380E-03   2.0710E-04   1.8383E-03   1.4992E-03   1.9617E-03   1.5971E-03   1.7716E-03   1.4434E-03   1.8904E-03   1.5377E-03   1.8767E-03   1.4971E-03   2.0026E-03   1.5949E-03      1.7092E-03   2.0137E-04	 12.776     2786.969
6   2.5782E-01  10598.687    4.5627E+00   6.0193E+01   6.5167E+00   1.5925E+00   1.2054E+00   6.3320E-04   1.5380E-04   7.2044E-04   5.7806E-04   7.6927E-04   6.1548E-04   6.7842E-04   5.4328E-04   7.2441E-04   5.7843E-04   7.2510E-04   5.6314E-04   7.7424E-04   5.9962E-04      6.5582E-04   8.4832E-05	 12.859     2762.057
7   2.9790E-01  10598.647    4.6308E+00   5.9868E+01   6.4230E+00   1.5426E+00   1.2275E+00   1.6840E-04   8.4240E-05   3.2258E-04   2.5900E-04   3.4467E-04   2.7558E-04   2.9700E-04   2.3808E-04   3.1733E-04   2.5330E-04   3.1176E-04   2.3966E-04   3.3311E-04   2.5505E-04      2.8726E-04   3.8204E-05	 12.950     2742.827
8   3.3797E-01  10598.667    4.6908E+00   6.1162E+01   6.3494E+00   1.5034E+00   1.2457E+00   1.5060E-04   8.6960E-05   1.6793E-04   1.3634E-04   1.7952E-04   1.4502E-04   1.5228E-04   1.2379E-04   1.6280E-04   1.3165E-04   1.5081E-04   1.1664E-04   1.6123E-04   1.2409E-04      1.4601E-04   1.9810E-05	 13.031     2725.405
9   3.7827E-01  10598.691    4.7411E+00   6.2606E+01   6.2937E+00   1.4737E+00   1.2600E+00   6.2230E-05   6.2240E-05   9.8875E-05   8.1201E-05   1.0575E-04   8.6384E-05   8.9362E-05   7.3779E-05   9.5580E-05   7.8483E-05   8.0303E-05   6.3175E-05   8.5891E-05   6.7221E-05      8.3834E-05   1.2569E-05	 13.100     2708.714
10   4.3176E-01  10599.954    3.9011E+00   1.7012E+02   5.4948E+00   1.0483E+00   1.3258E+00   1.7360E-02   2.3620E-02   2.4917E-04   2.0391E-04   2.6422E-04   2.1626E-04   2.3395E-04   1.9433E-04   2.4809E-04   2.0615E-04   1.7876E-04   1.4785E-04   1.8955E-04   1.5692E-04      2.0743E-04   3.6718E-05	  11.585    2218.253
