# data points from file : /Users/deuteron/Desktop/ImageAnalyzer/Digitize_Deepn/momentum_distributions.png
# xpw and ypw are positions in calibrated user units (e.g mm) 
# Momentum Distributions [GeV^-3], P_r [GeV/c]
# Calibration information 
#\ convx_av =  5.5551e-04
#\ convy_av = -6.1918e-03
# offsets 
#\ xoff =  3.0108e+02
#\ yoff =  1.1096e+03
#\ world_xs =  2.0000e-01
#\ world_ys =  0.0000e+00
#\ xw_xoff = -1.5354e-01
#\ yw_yoff =  6.8706e+00
#! n[i,0]/ xp[f,1]/ yp[f,2]/ xpw[f,3]/ ypw[f,4]/ 
0  2.9672e+02  3.1728e+01  1.1290e-02  4.7223e+06 
1  3.2503e+02  6.6570e+01  2.7016e-02  2.8736e+06 
2  3.3810e+02  8.3990e+01  3.4274e-02  2.2416e+06 
3  3.5769e+02  1.1883e+02  4.5161e-02  1.3641e+06 
4  3.8165e+02  1.6021e+02  5.8468e-02  7.5623e+05 
5  4.0342e+02  2.0376e+02  7.0565e-02  4.0643e+05 
6  4.3609e+02  2.5602e+02  8.8710e-02  1.9293e+05 
7  4.6657e+02  3.0393e+02  1.0565e-01  9.7446e+04 
8  5.0142e+02  3.5183e+02  1.2500e-01  4.9219e+04 
9  5.4061e+02  3.9974e+02  1.4677e-01  2.4860e+04 
10  5.7981e+02  4.4329e+02  1.6855e-01  1.3361e+04 
11  6.1683e+02  4.8467e+02  1.8911e-01  7.4074e+03 
12  6.5385e+02  5.2604e+02  2.0968e-01  4.1066e+03 
13  7.0829e+02  5.7613e+02  2.3992e-01  2.0108e+03 
14  7.5837e+02  6.1968e+02  2.6774e-01  1.0807e+03 
15  8.1717e+02  6.6323e+02  3.0040e-01  5.8082e+02 
16  8.8685e+02  7.1331e+02  3.3911e-01  2.8440e+02 
17  9.6742e+02  7.5687e+02  3.8387e-01  1.5285e+02 
18  1.0349e+03  7.8735e+02  4.2137e-01  9.8970e+01 
19  1.1111e+03  8.2002e+02  4.6371e-01  6.2124e+01 
20  1.1895e+03  8.5268e+02  5.0726e-01  3.8995e+01 
21  1.2701e+03  8.8534e+02  5.5202e-01  2.4477e+01 
22  1.3572e+03  9.2018e+02  6.0040e-01  1.4895e+01 
23  1.4443e+03  9.5503e+02  6.4879e-01  9.0637e+00 
24  1.5227e+03  9.8334e+02  6.9234e-01  6.0537e+00 
25  1.6229e+03  1.0247e+03  7.4798e-01  3.3562e+00 
26  1.7034e+03  1.0596e+03  7.9274e-01  2.0423e+00 
27  1.7949e+03  1.1009e+03  8.4355e-01  1.1322e+00 
28  1.8820e+03  1.1336e+03  8.9194e-01  7.1070e-01 
29  1.9822e+03  1.1771e+03  9.4758e-01  3.8196e-01 
30  2.0519e+03  1.2098e+03  9.8629e-01  2.3976e-01 
