#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
65.000000   0.031158   7.049967372679e-07
65.000000   0.061567   1.724865577350e-07
65.000000   0.098469   3.442934029734e-08
65.000000   0.137522   7.910776355437e-09
65.000000   0.177716   2.180807950856e-09
65.000000   0.217850   5.931770812587e-10
65.000000   0.258873   2.399732779482e-10
65.000000   0.299371   1.091573884734e-10
65.000000   0.339830   7.697140201014e-11
65.000000   0.379859   6.502930546719e-11
65.000000   0.419719   5.422451411336e-11
65.000000   0.459623   4.984585600535e-11
65.000000   0.499139   4.405157639405e-11
65.000000   0.538416   4.452380194221e-11
65.000000   0.577658   3.306825300368e-11
65.000000   0.616164   2.661995931811e-11
65.000000   0.654701   1.538680103315e-11
65.000000   0.693899   7.790398559990e-12
65.000000   0.730680   4.149763566056e-12
65.000000   0.761703   1.613889466122e-12
