#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
35.000000   0.031807   6.837102937590e-07
35.000000   0.062170   1.668381800485e-07
35.000000   0.099140   3.427111622347e-08
35.000000   0.138748   8.245140899112e-09
35.000000   0.177804   2.440924527697e-09
35.000000   0.217658   8.165464127254e-10
35.000000   0.257537   3.193111590091e-10
35.000000   0.297431   1.501145560764e-10
35.000000   0.337372   8.082804978762e-11
35.000000   0.387658   4.462934434545e-11
35.000000   0.424064   3.134872575078e-11
35.000000   0.460382   2.336770558436e-11
35.000000   0.505217   1.600180167240e-11
35.000000   0.545069   1.155805134049e-11
35.000000   0.582416   8.620235138498e-12
35.000000   0.620893   6.272628143738e-12
35.000000   0.660168   4.493191864190e-12
35.000000   0.699596   3.250628554389e-12
35.000000   0.739075   2.317102835384e-12
35.000000   0.778919   1.612173125288e-12
35.000000   0.818674   1.127653091390e-12
35.000000   0.858392   7.882047165298e-13
35.000000   0.898098   5.504817774297e-13
35.000000   0.937883   3.832628409989e-13
35.000000   0.977679   2.708231619862e-13
35.000000   1.017326   1.993529675116e-13
35.000000   1.056876   1.464641770743e-13
35.000000   1.097022   1.092103191825e-13
35.000000   1.136492   8.314928272286e-14
35.000000   1.172058   6.545080340666e-14
