#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
35.000000   0.031807   6.839813336477e-07
35.000000   0.062170   1.671445929797e-07
35.000000   0.099140   3.447297537269e-08
35.000000   0.138748   8.367805935231e-09
35.000000   0.177804   2.508692428598e-09
35.000000   0.217658   8.489930474192e-10
35.000000   0.257537   3.305194892210e-10
35.000000   0.297431   1.504192013398e-10
35.000000   0.337372   7.527785006586e-11
35.000000   0.387658   3.689512161227e-11
35.000000   0.424064   2.329385025407e-11
35.000000   0.460382   1.576565530543e-11
35.000000   0.505217   9.650995459968e-12
35.000000   0.545069   6.323500906491e-12
35.000000   0.582416   4.380423085167e-12
35.000000   0.620893   2.962091970399e-12
35.000000   0.660168   1.996043915247e-12
35.000000   0.699596   1.391501085102e-12
35.000000   0.739075   9.692679485629e-13
35.000000   0.778919   6.657695332336e-13
35.000000   0.818674   4.788703032149e-13
35.000000   0.858392   3.555216171993e-13
35.000000   0.898098   2.697912368798e-13
35.000000   0.937883   2.094144668291e-13
35.000000   0.977679   1.676464532356e-13
35.000000   1.017326   1.390053206776e-13
35.000000   1.056876   1.138080743733e-13
35.000000   1.097022   9.156170852479e-14
35.000000   1.136492   7.383412489237e-14
35.000000   1.172058   5.971013774703e-14
