#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
75.000000   0.032054   6.795740948587e-07
75.000000   0.061312   1.725961674718e-07
75.000000   0.097880   3.520472693264e-08
75.000000   0.137151   7.601951519327e-09
75.000000   0.176925   1.801651977532e-09
75.000000   0.217235   6.183274068367e-10
75.000000   0.258085   2.176643822575e-10
75.000000   0.299686   1.470002427639e-10
75.000000   0.339653   1.148420614779e-10
75.000000   0.379691   1.097996721992e-10
75.000000   0.419340   1.022383542221e-10
75.000000   0.458626   6.663315494787e-11
75.000000   0.498117   4.440537852633e-11
75.000000   0.537633   3.242678038940e-11
75.000000   0.576881   2.101979614000e-11
75.000000   0.615864   1.399854333838e-11
75.000000   0.653612   7.609972072313e-12
75.000000   0.693321   4.097657233569e-12
75.000000   0.734930   2.340576872950e-12
