# reduced cross section as a function of missing momentum 
#
# theta_nq = 75.0 
#
# Averaged for all contributing bins
#
# p_miss_av     : fm^-1, missing momentum
# delta_rho     : fm^3, total error in reduced cross section (momentum distribution) 
# delta_rho1    : fm^3, total error in reduced cross section including chi2 of averaging 
#
# Kinematics and cross section for each contributing bin: 
#
#  th_e         : electron scattering angle (deg)
#  Ei           : incident energy (MeV)
#  omega        : energy transfer (MeV) 
#  qlab         : 3-momentum transfer in lab (MeV/c)
#  cos_phi      : cos(phi), phi reaction plane angle
#  pf           : final proton momentum (MeV/c)
#  p_miss       : averaged missign momentum (MeV/c)
#  th_nq        : angle between recoiling neutron and qlab
#  sig_red_exp  : exp. red. cross section (rho) for this bin (fm^3)
#  dsig_red_exp : error in red. cross section (drho) for this bin (fm^3)
#  bc           : bin centering correction factor sig_exp * bc = exp. cross section at av. kinematics
#
#! Nr[i,0]/ p_miss[f,1]/ rho[f,2]/ delta_rho[f,3]/ delta_rho1[f,4]/ th_e[f,5]/ Ei[f,6]/ omega[f,7]/ qlab[f,8]/ cos_phi[f, 9]/ pf[f,10]/ p_miss_b[f,11]/ th_nq[f,12]/ sig_red_exp[f,13]/ dsig_red_exp[f,14]/ bc[f,15]/ 
0 0.287  1.552e+00  3.191e-02  3.191e-02 27.464 5008.410 1863.846 2650.236 0.09078 2636.124   57.677  75.232  1.552e+00  3.191e-02 1.01430 
1 0.487  2.756e-01  7.198e-03  1.308e-02 27.461 5008.410 1854.139 2645.344 0.23999 2622.533   95.699  75.201  2.872e-01  9.597e-03 0.92707 
1 0.487  2.756e-01  7.198e-03  1.308e-02 27.256 5008.480 1836.268 2626.769 -0.70536 2603.337   97.610  75.074  2.608e-01  1.088e-02 0.94930 
2 0.699  5.022e-02  1.360e-03  2.854e-03 27.497 5008.410 1851.485 2645.792 0.22635 2614.575  135.354  75.235  6.055e-02  4.333e-03 0.96314 
2 0.699  5.022e-02  1.360e-03  2.854e-03 27.511 5008.480 1852.981 2647.237 -0.67037 2616.032  136.226  75.318  5.476e-02  3.850e-03 0.97354 
2 0.699  5.022e-02  1.360e-03  2.854e-03 26.944 5008.500 1803.557 2595.711 -0.88912 2563.009  139.171  74.912  4.818e-02  1.542e-03 0.99732 
3 0.899  1.407e-02  4.902e-04  3.289e-04 27.660 5008.480 1865.333 2660.367 -0.57347 2622.313  175.565  75.629  1.590e-02  2.092e-03 1.00421 
3 0.899  1.407e-02  4.902e-04  3.289e-04 27.565 5008.410 1855.887 2651.191 0.16666 2612.255  175.690  75.337  1.334e-02  2.140e-03 1.00037 
3 0.899  1.407e-02  4.902e-04  3.289e-04 27.224 5008.500 1826.018 2620.274 -0.87657 2580.030  178.054  75.033  1.401e-02  5.189e-04 1.00896 
4 1.106  4.025e-03  1.686e-04  2.805e-04 27.617 5008.410 1863.102 2657.207 0.12464 2611.230  215.804  75.415  4.712e-03  1.422e-03 0.98557 
