#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
25.000000   0.032283   6.950477308774e-07
25.000000   0.062727   1.731267623351e-07
25.000000   0.098863   3.742564228388e-08
25.000000   0.137805   9.531944256240e-09
25.000000   0.176966   2.905177347164e-09
25.000000   0.216475   1.005415616800e-09
25.000000   0.256413   4.000221230081e-10
25.000000   0.296158   1.815385727689e-10
25.000000   0.334908   9.720637195361e-11
25.000000   0.383698   5.176761297300e-11
25.000000   0.428491   3.400478128645e-11
25.000000   0.463468   2.531959835631e-11
25.000000   0.508111   1.767718588436e-11
25.000000   0.544197   1.351257601604e-11
25.000000   0.581639   1.021974320518e-11
25.000000   0.620272   7.613749613347e-12
25.000000   0.659711   5.635003671211e-12
25.000000   0.699209   4.120993335554e-12
25.000000   0.738689   3.004637640206e-12
25.000000   0.778224   2.170417103164e-12
25.000000   0.817495   1.552238243381e-12
25.000000   0.856850   1.098084354242e-12
25.000000   0.896250   7.700988331369e-13
25.000000   0.935205   5.335275745364e-13
25.000000   0.973032   3.711896835481e-13
25.000000   1.015164   2.444696260217e-13
25.000000   1.054487   1.630669700416e-13
25.000000   1.094301   1.068936466243e-13
25.000000   1.131913   6.910214778991e-14
25.000000   1.172408   4.420658222438e-14
