#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
15.000000   0.031418   7.050897258038e-07
15.000000   0.062187   1.745782225254e-07
15.000000   0.098789   3.916829235831e-08
15.000000   0.137024   1.018849991829e-08
15.000000   0.175454   3.166533834354e-09
15.000000   0.214408   1.125495292719e-09
15.000000   0.254022   4.603277857481e-10
15.000000   0.292241   2.111286163114e-10
15.000000   0.328839   1.115174241555e-10
15.000000   0.429415   2.529216374945e-11
15.000000   0.464523   1.716151916641e-11
15.000000   0.501319   1.154210466535e-11
15.000000   0.540532   7.599039866395e-12
15.000000   0.580156   5.070241087932e-12
15.000000   0.625419   3.423320636282e-12
15.000000   0.660452   2.279146039282e-12
15.000000   0.700006   1.524236962970e-12
15.000000   0.738284   1.037707278626e-12
15.000000   0.775712   7.164115365166e-13
15.000000   0.816871   4.640639823807e-13
15.000000   0.851624   3.159439642967e-13
15.000000   0.884410   2.263075369767e-13
