#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
45.000000   0.031454   7.198435825197e-07
45.000000   0.062944   1.751631626529e-07
45.000000   0.099068   3.775895853999e-08
45.000000   0.138875   9.511769706058e-09
45.000000   0.178310   2.879407866426e-09
45.000000   0.217970   1.018288806079e-09
45.000000   0.257825   4.107551306340e-10
45.000000   0.297723   1.827864715886e-10
45.000000   0.337703   9.098486444414e-11
45.000000   0.378097   4.943682406124e-11
45.000000   0.426542   2.673707862346e-11
45.000000   0.463657   1.732647873464e-11
45.000000   0.501441   1.140934450625e-11
45.000000   0.545001   7.176607636809e-12
45.000000   0.582833   4.968078903985e-12
45.000000   0.620847   3.380328627222e-12
45.000000   0.659667   2.304086956032e-12
45.000000   0.698266   1.600978507574e-12
45.000000   0.739678   1.042384813817e-12
45.000000   0.779215   6.965090943975e-13
45.000000   0.818839   4.626509942565e-13
45.000000   0.858581   3.048650912326e-13
45.000000   0.898286   2.002688516216e-13
45.000000   0.938000   1.306644696384e-13
45.000000   0.977722   8.486369320935e-14
45.000000   1.017357   5.482383761207e-14
45.000000   1.057038   3.533179211002e-14
45.000000   1.096633   2.270855240376e-14
45.000000   1.136192   1.469254500823e-14
45.000000   1.172195   9.909225369120e-15
