#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
65.000000   0.030768   7.269041178957e-07
65.000000   0.061619   1.823829803117e-07
65.000000   0.098843   3.860576213710e-08
65.000000   0.137787   9.578458685692e-09
65.000000   0.177782   2.820612449626e-09
65.000000   0.218298   9.670293604164e-10
65.000000   0.258546   3.746900165195e-10
65.000000   0.298521   1.703993399751e-10
65.000000   0.339024   8.941577743420e-11
65.000000   0.379028   5.395448500451e-11
65.000000   0.419106   3.598128171255e-11
65.000000   0.458991   2.521558324798e-11
65.000000   0.498704   1.829503887863e-11
65.000000   0.538103   1.349704749532e-11
65.000000   0.577374   9.984979161039e-12
65.000000   0.616098   7.422828083290e-12
65.000000   0.654468   5.505453437874e-12
65.000000   0.693382   4.054971512889e-12
65.000000   0.731536   2.793236522905e-12
65.000000   0.769037   2.569058261486e-12
