#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
45.000000   0.031454   7.187945078622e-07
45.000000   0.062944   1.744803063230e-07
45.000000   0.099068   3.738229904568e-08
45.000000   0.138875   9.308567383532e-09
45.000000   0.178310   2.768868413874e-09
45.000000   0.217970   9.605939214800e-10
45.000000   0.257825   3.839471144459e-10
45.000000   0.297723   1.739719705213e-10
45.000000   0.337703   9.181398476010e-11
45.000000   0.378097   5.498364517340e-11
45.000000   0.426542   3.437474332283e-11
45.000000   0.463657   2.504377258387e-11
45.000000   0.501441   1.852656469408e-11
45.000000   0.545001   1.323174841032e-11
45.000000   0.582833   1.008946425640e-11
45.000000   0.620847   7.542576677749e-12
45.000000   0.659667   5.618071869095e-12
45.000000   0.698266   4.233653963012e-12
45.000000   0.739678   3.016782507103e-12
45.000000   0.779215   2.180115315435e-12
45.000000   0.818839   1.561951270143e-12
45.000000   0.858581   1.105724819067e-12
45.000000   0.898286   7.769648439183e-13
45.000000   0.938000   5.391933632210e-13
45.000000   0.977722   3.696020805596e-13
45.000000   1.017357   2.494333151827e-13
45.000000   1.057038   1.654128475151e-13
45.000000   1.096633   1.072048469772e-13
45.000000   1.136192   6.801360881135e-14
45.000000   1.172195   4.374635404971e-14
