# Hall C d(e,e p)n commissioning numerical data 
# 
# thnq             : 45 +/- 5 deg 
# pm_bin           : central missing momentum bin (GeV/c) 
 # pm_avg           : average missing momentum value in central bin (GeV/c) 
# red_dataXsec     : reduced data cross-sections (fm^3) 
# red_dataXsec_err : reduced data cross-sections total error (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_dataXsec[f,2]/    red_dataXsec_err[f,3]/
0.020     0.031473     6.125248E+00      1.346246E+00 
0.060     0.062411     1.333029E+00      1.080505E-01 
0.100     0.099207     2.562139E-01      1.857146E-02 
0.140     0.138440     6.811442E-02      5.680000E-03 
0.180     0.178375     2.089124E-02      2.242042E-03 
0.220     0.218252     5.249763E-03      9.439481E-04 
0.260     0.257816     2.830660E-03      7.114088E-04 
0.300     0.297900     NAN      3.977066E-04 
0.340     0.337974     NAN      4.237374E-04 
0.380     0.378275     NAN      3.101088E-04 
0.420     0.431761     NAN      3.020562E-02 
0.460     0.462105     NAN      2.729395E-04 
0.500     0.503398     1.014077E-04      4.076275E-05 
0.540     0.541761     6.883591E-05      1.815640E-05 
0.580     0.582569     4.366311E-05      1.012439E-05 
0.620     0.621252     3.998203E-05      7.975750E-06 
0.660     0.661036     2.353687E-05      4.799936E-06 
0.700     0.700331     3.325952E-05      5.004138E-06 
0.740     0.739832     1.783671E-05      3.121509E-06 
0.780     0.779405     1.781278E-05      2.886291E-06 
0.820     0.819129     1.496695E-05      2.494399E-06 
0.860     0.858869     8.165793E-06      1.752945E-06 
0.900     0.898569     1.126599E-05      2.099893E-06 
0.940     0.938461     7.331767E-06      1.762074E-06 
0.980     0.978123     1.135794E-05      2.360182E-06 
1.020     1.017957     6.955984E-06      1.848607E-06 
1.060     1.057468     NAN      2.004476E-06 
1.100     1.097505     NAN      1.990266E-06 
1.140     1.137289     NAN      2.259549E-06 
1.180     1.173123     NAN      2.478802E-06 
