# Misak Sargsian (MS AV18) d(e,e p)n theory reduced cross-sections 
# 
# thnq                : 35 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# red_theoryXsec_pwia : reduced PWIA theory cross-sections (fm^3) 
# red_theoryXsec_fsi  : reduced FSI  theory cross-sections (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_theoryXsec_pwia[f,2]/    red_theoryXsec_fsi[f,3]/
0.020     0.031807     5.443413E+00      5.251137E+00 
0.060     0.062170     1.358287E+00      1.281376E+00 
0.100     0.099140     2.879125E-01      2.632143E-01 
0.140     0.138748     7.104444E-02      6.332560E-02 
0.180     0.177804     2.170923E-02      1.874717E-02 
0.220     0.217658     7.512100E-03      6.271366E-03 
0.260     0.257537     2.975233E-03      2.452423E-03 
0.300     0.297431     1.355286E-03      1.152933E-03 
0.340     0.337372     7.120557E-04      6.207881E-04 
0.380     0.387658     3.885272E-04      3.427692E-04 
0.420     0.424064     2.699703E-04      2.407693E-04 
0.460     0.460382     1.966947E-04      1.794723E-04 
0.500     0.505217     1.387960E-04      1.228995E-04 
0.540     0.545069     1.034848E-04      8.876993E-05 
0.580     0.582416     7.814554E-05      6.620646E-05 
0.620     0.620893     5.838767E-05      4.817601E-05 
0.660     0.660168     4.315562E-05      3.450931E-05 
0.700     0.699596     3.165221E-05      2.496598E-05 
0.740     0.739075     2.303224E-05      1.779617E-05 
0.780     0.778919     1.657126E-05      1.238206E-05 
0.820     0.818674     1.182109E-05      8.660775E-06 
0.860     0.858392     8.352419E-06      6.053691E-06 
0.900     0.898098     5.839381E-06      4.227895E-06 
0.940     0.937883     4.031755E-06      2.943594E-06 
0.980     0.977679     2.747677E-06      2.080018E-06 
1.020     1.017326     1.847393E-06      1.531101E-06 
1.060     1.056876     1.222591E-06      1.124897E-06 
1.100     1.097022     7.879861E-07      8.387739E-07 
1.140     1.136492     4.995245E-07      6.386160E-07 
1.180     1.172058     3.234439E-07      5.026854E-07 
