# Misak Sargsian (MS CD-Bonn) d(e,e p)n theory reduced cross-sections 
# 
# thnq                : 45 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# red_theoryXsec_pwia : reduced PWIA theory cross-sections (fm^3) 
# red_theoryXsec_fsi  : reduced FSI  theory cross-sections (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_theoryXsec_pwia[f,2]/    red_theoryXsec_fsi[f,3]/
0.020     0.031473     5.528907E+00      5.331746E+00 
0.060     0.062411     1.348440E+00      1.271937E+00 
0.100     0.099207     2.898486E-01      2.633132E-01 
0.140     0.138440     7.320544E-02      6.294984E-02 
0.180     0.178375     2.215298E-02      1.776715E-02 
0.220     0.218252     7.823051E-03      6.080735E-03 
0.260     0.257816     3.154365E-03      2.362758E-03 
0.300     0.297900     1.408480E-03      1.007495E-03 
0.340     0.337974     6.986390E-04      5.397188E-04 
0.380     0.378275     3.781620E-04      3.139352E-04 
0.420     0.426548     2.055260E-04      1.773206E-04 
0.460     0.463456     1.328628E-04      1.216476E-04 
0.500     0.501495     8.732675E-05      8.576223E-05 
0.540     0.546284     5.517662E-05      5.643793E-05 
0.580     0.582744     3.801920E-05      4.145037E-05 
0.620     0.621049     2.586135E-05      3.092233E-05 
0.660     0.659422     1.758671E-05      2.348507E-05 
0.700     0.696996     1.208350E-05      1.802857E-05 
0.740     0.739832     7.911767E-06      1.251035E-05 
0.780     0.779405     5.267112E-06      9.466690E-06 
0.820     0.819129     3.479206E-06      7.513737E-06 
0.860     0.858869     2.284206E-06      6.036817E-06 
0.900     0.898569     1.490450E-06      4.854567E-06 
0.940     0.938345     9.656990E-07      3.713238E-06 
0.980     0.978177     6.217332E-07      3.087729E-06 
1.020     1.017958     3.986488E-07      2.218726E-06 
1.060     1.057689     2.551391E-07      1.636038E-06 
1.100     1.097505     1.631883E-07      1.240862E-06 
1.140     1.137054     1.051088E-07      8.717402E-07 
1.180     1.173010     7.087763E-08      6.249794E-07 
