# Jean-Mark Laget (JML Paris) d(e,e p)n theory reduced cross-sections 
# 
# thnq                : 35 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# red_theoryXsec_pwia : reduced PWIA theory cross-sections (fm^3) 
# red_theoryXsec_fsi  : reduced FSI  theory cross-sections (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_theoryXsec_pwia[f,2]/    red_theoryXsec_fsi[f,3]/
0.020     0.031807     5.111307E+00      4.878509E+00 
0.060     0.062170     1.402600E+00      1.349101E+00 
0.100     0.099140     3.024044E-01      2.815264E-01 
0.140     0.138748     7.606636E-02      6.955125E-02 
0.180     0.177804     2.317576E-02      2.117681E-02 
0.220     0.217658     8.057522E-03      7.416937E-03 
0.260     0.257537     3.195133E-03      2.997074E-03 
0.300     0.297431     1.474344E-03      1.400763E-03 
0.340     0.337372     7.841439E-04      7.417078E-04 
0.380     0.376119     4.229674E-04      3.882566E-04 
0.420     0.424064     2.866261E-04      2.647102E-04 
0.460     0.464195     2.083654E-04      1.907226E-04 
0.500     0.501928     1.465536E-04      1.279110E-04 
0.540     0.540699     1.052894E-04      9.061359E-05 
0.580     0.582042     7.899398E-05      6.757019E-05 
0.620     0.620893     5.816636E-05      4.968943E-05 
0.660     0.660069     4.239938E-05      3.615904E-05 
0.700     0.699596     3.050187E-05      2.614551E-05 
0.740     0.739075     2.159784E-05      1.864842E-05 
0.780     0.779055     1.501503E-05      1.309963E-05 
0.820     0.818674     1.020447E-05      9.072771E-06 
0.860     0.858392     6.777025E-06      6.185313E-06 
0.900     0.898556     4.391615E-06      4.162554E-06 
0.940     0.938321     2.766419E-06      2.771026E-06 
0.980     0.978108     1.679792E-06      1.809504E-06 
1.020     1.017881     9.762528E-07      1.170726E-06 
1.060     1.057711     5.336626E-07      7.387501E-07 
1.100     1.097022     2.748625E-07      4.559179E-07 
1.140     1.137300     1.286809E-07      2.739211E-07 
1.180     1.173259     5.532137E-08      1.688157E-07 
