# Hall C d(e,e p)n commissioning numerical data 
# 
# thnq             : 35 +/- 5 deg 
# pm_bin           : central missing momentum bin (GeV/c) 
 # pm_avg           : average missing momentum value in central bin (GeV/c) 
# red_dataXsec     : reduced data cross-sections (fm^3) 
# red_dataXsec_err : reduced data cross-sections total error (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_dataXsec[f,2]/    red_dataXsec_err[f,3]/
0.020     0.031807     4.004734E+00      8.658245E-01 
0.060     0.062170     1.180925E+00      1.022704E-01 
0.100     0.099140     2.888973E-01      2.269558E-02 
0.140     0.138748     7.581088E-02      6.769433E-03 
0.180     0.177804     2.005613E-02      2.485432E-03 
0.220     0.217658     8.634542E-03      1.497129E-03 
0.260     0.257537     2.780870E-03      8.286055E-04 
0.300     0.297431     NAN      4.851950E-04 
0.340     0.337372     NAN      5.335295E-04 
0.380     0.376119     NAN      6.198567E-04 
0.420     0.424064     NAN      NAN 
0.460     0.464195     9.603992E-05      4.388567E-05 
0.500     0.501928     5.999449E-05      1.719067E-05 
0.540     0.540699     4.240767E-05      1.002801E-05 
0.580     0.582042     1.865611E-05      5.072009E-06 
0.620     0.620893     2.272447E-05      4.440191E-06 
0.660     0.660069     1.233506E-05      2.753581E-06 
0.700     0.699596     1.240113E-05      2.375605E-06 
0.740     0.739075     9.996616E-06      1.991183E-06 
0.780     0.779055     1.159671E-05      2.194308E-06 
0.820     0.818674     6.113887E-06      1.484592E-06 
0.860     0.858392     7.109161E-06      1.636629E-06 
0.900     0.898556     4.189360E-06      1.333139E-06 
0.940     0.938321     3.556950E-06      1.274546E-06 
0.980     0.978108     NAN      1.623208E-06 
1.020     1.017881     NAN      1.330547E-06 
1.060     1.057711     NAN      1.687986E-06 
1.100     1.097022     NAN      NAN 
1.140     1.137300     NAN      2.408971E-06 
1.180     1.173259     NAN      1.315865E-05 
