# Misak Sargsian (MS CD-Bonn) d(e,e p)n theory reduced cross-sections 
# 
# thnq                : 35 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# red_theoryXsec_pwia : reduced PWIA theory cross-sections (fm^3) 
# red_theoryXsec_fsi  : reduced FSI  theory cross-sections (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_theoryXsec_pwia[f,2]/    red_theoryXsec_fsi[f,3]/
0.020     0.031807     5.451434E+00      5.253219E+00 
0.060     0.062170     1.363566E+00      1.283730E+00 
0.100     0.099140     2.908094E-01      2.647647E-01 
0.140     0.138748     7.260295E-02      6.426771E-02 
0.180     0.177804     2.256929E-02      1.926765E-02 
0.220     0.217658     7.961243E-03      6.520567E-03 
0.260     0.257537     3.182778E-03      2.538507E-03 
0.300     0.297431     1.424356E-03      1.155273E-03 
0.340     0.337372     7.063628E-04      5.781606E-04 
0.380     0.387658     3.405733E-04      2.833676E-04 
0.420     0.424064     2.116192E-04      1.789050E-04 
0.460     0.460382     1.374125E-04      1.210858E-04 
0.500     0.505217     8.466230E-05      7.412306E-05 
0.540     0.545069     5.625711E-05      4.856673E-05 
0.580     0.582416     3.848739E-05      3.364320E-05 
0.620     0.620893     2.615768E-05      2.274992E-05 
0.660     0.660168     1.765811E-05      1.533032E-05 
0.700     0.699596     1.188351E-05      1.068722E-05 
0.740     0.739075     7.967093E-06      7.444321E-06 
0.780     0.778919     5.294835E-06      5.113346E-06 
0.820     0.818674     3.502425E-06      3.677894E-06 
0.860     0.858392     2.302522E-06      2.730532E-06 
0.900     0.898098     1.505027E-06      2.072092E-06 
0.940     0.937883     9.768067E-07      1.608377E-06 
0.980     0.977679     6.304800E-07      1.287584E-06 
1.020     1.017326     4.059131E-07      1.067610E-06 
1.060     1.056876     2.611941E-07      8.740863E-07 
1.100     1.097022     1.667377E-07      7.032264E-07 
1.140     1.136492     1.079195E-07      5.670722E-07 
1.180     1.172058     7.325309E-08      4.585950E-07 
