# J.W.V. Ordern and S. Jeshonnek (JVO WJC2) d(e,e p)n theory reduced cross-sections 
# 
# thnq                : 35 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
# pm_avg              : average missing momentum value in central bin (GeV/c) 
# red_theoryXsec_pwia : reduced PWIA theory cross-sections (fm^3) 
# red_theoryXsec_fsi  : reduced FSI  theory cross-sections (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_theoryXsec_pwia[f,2]/    red_theoryXsec_fsi[f,3]/
0.020     0.031807     5.323500E+00      5.152100E+00 
0.060     0.062170     1.330100E+00      1.263600E+00 
0.100     0.099140     2.831500E-01      2.617100E-01 
0.140     0.138750     7.052600E-02      6.331200E-02 
0.180     0.177800     2.191500E-02      1.919600E-02 
0.220     0.217660     7.789700E-03      6.682000E-03 
0.260     0.257540     3.188400E-03      2.693300E-03 
0.300     0.297430     1.501800E-03      1.252400E-03 
0.340     0.337370     8.112200E-04      6.668700E-04 
0.380     0.376120     4.996100E-04      4.041600E-04 
0.460     0.464195     2.143100E-04      1.687900E-04 
0.500     0.501930     1.615800E-04      1.248000E-04 
0.540     0.540700     1.241100E-04      9.398300E-05 
0.580     0.582043     9.406800E-05      7.019700E-05 
0.620     0.620894     7.156600E-05      5.231000E-05 
0.660     0.660070     5.346700E-05      3.797000E-05 
0.700     0.699596     3.925200E-05      2.710700E-05 
0.740     0.739074     2.840800E-05      1.895600E-05 
0.780     0.779055     2.023500E-05      1.309200E-05 
0.820     0.818674     1.429900E-05      8.847200E-06 
0.860     0.858394     9.995000E-06      5.973500E-06 
0.900     0.898557     6.904200E-06      4.124300E-06 
0.940     0.938323     4.759600E-06      2.821700E-06 
0.980     0.978110     3.265900E-06      1.963700E-06 
1.020     1.017900     2.232300E-06      1.512100E-06 
1.060     1.057700     1.519100E-06      1.159700E-06 
1.140     1.137300     6.995300E-07      7.163800E-07 
1.180     1.173300     4.940700E-07      5.864000E-07 
