# Misak Sargsian (MS CD-Bonn) d(e,e p)n theory reduced cross-sections 
# 
# thnq                : 75 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
# pm_avg              : average missing momentum value in central bin (GeV/c) 
# red_theoryXsec_pwia : reduced PWIA theory cross-sections (fm^3) 
# red_theoryXsec_fsi  : reduced FSI  theory cross-sections (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_theoryXsec_pwia[f,2]/    red_theoryXsec_fsi[f,3]/
0.020     0.032054     5.391991E+00      5.219370E+00 
0.060     0.061312     1.416021E+00      1.325600E+00 
0.100     0.097880     3.045558E-01      2.703848E-01 
0.140     0.137151     7.620371E-02      5.838568E-02 
0.180     0.176925     2.305580E-02      1.383733E-02 
0.220     0.217235     8.025253E-03      4.748974E-03 
0.260     0.258085     3.141719E-03      1.671740E-03 
0.300     0.299686     1.366336E-03      1.129014E-03 
0.340     0.339653     6.827474E-04      8.820277E-04 
0.380     0.379691     3.730215E-04      8.433004E-04 
0.420     0.419340     2.199463E-04      7.852268E-04 
0.460     0.458626     1.369844E-04      5.117662E-04 
0.500     0.498117     8.803175E-05      3.410490E-04 
0.540     0.537633     5.777172E-05      2.490492E-04 
0.580     0.576881     3.852762E-05      1.614395E-04 
0.620     0.615864     2.593426E-05      1.075138E-04 
0.660     0.653612     1.772209E-05      5.844728E-05 
0.700     0.693321     1.189035E-05      3.147146E-05 
0.740     0.734930     7.777367E-06      1.797646E-05 
