# J.W.V. Orden and S. Jeshonnek (JVO WJC2) d(e,e p)n theory reduced cross-sections 
# 
# thnq                : 45 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
# pm_avg              : average missing momentum value in central bin (GeV/c) 
# red_theoryXsec_pwia : reduced PWIA theory cross-sections (fm^3) 
# red_theoryXsec_fsi  : reduced FSI  theory cross-sections (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_theoryXsec_pwia[f,2]/    red_theoryXsec_fsi[f,3]/
0.020     0.031473     5.399700E+00      5.222600E+00 
0.060     0.062411     1.316100E+00      1.245300E+00 
0.100     0.099207     2.826900E-01      2.584000E-01 
0.140     0.138440     7.136700E-02      6.265700E-02 
0.180     0.178380     2.162900E-02      1.822800E-02 
0.220     0.218250     7.702300E-03      6.281500E-03 
0.260     0.257820     3.179500E-03      2.551100E-03 
0.300     0.297900     1.493900E-03      1.199500E-03 
0.340     0.337970     8.063400E-04      6.546600E-04 
0.380     0.378270     4.881600E-04      4.009000E-04 
0.420     0.431760     2.820900E-04      2.308500E-04 
0.460     0.462110     2.199900E-04      1.803600E-04 
0.500     0.503400     1.592100E-04      1.298000E-04 
0.540     0.541760     1.226500E-04      9.296500E-05 
0.580     0.582570     9.328400E-05      7.250000E-05 
0.620     0.621250     7.105300E-05      5.549200E-05 
0.660     0.661036     5.288600E-05      4.143800E-05 
0.700     0.700332     3.889300E-05      3.005200E-05 
0.740     0.739830     2.815000E-05      2.184900E-05 
0.780     0.779404     2.012100E-05      1.569600E-05 
0.820     0.819128     1.421400E-05      1.114200E-05 
0.860     0.858868     9.935100E-06      7.830900E-06 
0.900     0.898568     6.890800E-06      5.504000E-06 
0.940     0.938463     4.746000E-06      3.901700E-06 
0.980     0.978123     3.260400E-06      2.845400E-06 
1.020     1.017960     2.227200E-06      2.158300E-06 
1.060     1.057467     1.520100E-06      1.862100E-06 
1.100     1.097500     1.029200E-06      1.573900E-06 
1.140     1.137275     6.984700E-07      1.444100E-06 
1.18      1.173100     4.939000E-07      1.302700E-06 
