# Misak Sargsian (MS AV18) d(e,e p)n theory reduced cross-sections 
# 
# thnq                : 45 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# red_theoryXsec_pwia : reduced PWIA theory cross-sections (fm^3) 
# red_theoryXsec_fsi  : reduced FSI  theory cross-sections (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_theoryXsec_pwia[f,2]/    red_theoryXsec_fsi[f,3]/
0.020     0.031473     5.520849E+00      5.329669E+00 
0.060     0.062411     1.343183E+00      1.269414E+00 
0.100     0.099207     2.869573E-01      2.616843E-01 
0.140     0.138440     7.164153E-02      6.202858E-02 
0.180     0.178375     2.130253E-02      1.728013E-02 
0.220     0.218252     7.379807E-03      5.837630E-03 
0.260     0.257816     2.948495E-03      2.280217E-03 
0.300     0.297900     1.340559E-03      1.021632E-03 
0.340     0.337974     7.050055E-04      5.899914E-04 
0.380     0.378275     4.205919E-04      3.801693E-04 
0.420     0.426548     2.642460E-04      2.427160E-04 
0.460     0.463456     1.920455E-04      1.826229E-04 
0.500     0.501495     1.418022E-04      1.387208E-04 
0.540     0.546284     1.017345E-04      9.881006E-05 
0.580     0.582744     7.721243E-05      7.568588E-05 
0.620     0.621049     5.770662E-05      5.799246E-05 
0.660     0.659422     4.288166E-05      4.431148E-05 
0.700     0.696996     3.196328E-05      3.380920E-05 
0.740     0.739832     2.289774E-05      2.366178E-05 
0.780     0.779405     1.648651E-05      1.743684E-05 
0.820     0.819129     1.174618E-05      1.318156E-05 
0.860     0.858869     8.284717E-06      1.001951E-05 
0.900     0.898569     5.782391E-06      7.569289E-06 
0.940     0.938345     3.985020E-06      5.573549E-06 
0.980     0.978177     2.707819E-06      4.379919E-06 
1.020     1.017958     1.813746E-06      3.013832E-06 
1.060     1.057689     1.194485E-06      2.154095E-06 
1.100     1.097505     7.703886E-07      1.571893E-06 
1.140     1.137054     4.865607E-07      1.074730E-06 
1.180     1.173010     3.129069E-07      7.460512E-07 
