# data points from file : /Users/deuteron/Desktop/ImageAnalyzer/Digitize_Deepn/momentum_distributions.png
# xpw and ypw are positions in calibrated user units (e.g mm) 
# Momentum Distributions [GeV^-3], P_r [GeV/c]
# Calibration information 
#\ convx_av =  5.5568e-04
#\ convy_av = -6.2062e-03
# offsets 
#\ xoff =  3.1184e+02
#\ yoff =  1.1065e+03
#\ world_xs =  2.0000e-01
#\ world_ys =  0.0000e+00
#\ xw_xoff = -1.5316e-01
#\ yw_yoff =  6.8674e+00
#! n[i,0]/ xp[f,1]/ yp[f,2]/ xpw[f,3]/ ypw[f,4]/ 
0  2.9881e+02  3.3305e+01  1.2877e-02  4.5780e+06 
1  3.3139e+02  7.4583e+01  3.0986e-02  2.5380e+06 
2  3.5747e+02  1.2455e+02  4.5473e-02  1.2427e+06 
3  3.8136e+02  1.6148e+02  5.8753e-02  7.3311e+05 
4  3.9874e+02  1.9624e+02  6.8410e-02  4.4611e+05 
5  4.2481e+02  2.3752e+02  8.2897e-02  2.4732e+05 
6  4.4219e+02  2.6577e+02  9.2555e-02  1.6519e+05 
7  4.6609e+02  3.0270e+02  1.0584e-01  9.7446e+04 
8  4.9651e+02  3.4180e+02  1.2274e-01  5.5727e+04 
9  5.2041e+02  3.7657e+02  1.3602e-01  3.3911e+04 
10  5.5517e+02  4.1784e+02  1.5533e-01  1.8800e+04 
11  5.8993e+02  4.5695e+02  1.7465e-01  1.0751e+04 
12  6.2903e+02  5.0040e+02  1.9638e-01  5.7783e+03 
13  6.7683e+02  5.4602e+02  2.2294e-01  3.0106e+03 
14  7.2897e+02  5.8730e+02  2.5191e-01  1.6691e+03 
15  7.9849e+02  6.3727e+02  2.9054e-01  8.1726e+02 
16  8.7236e+02  6.8072e+02  3.3159e-01  4.3923e+02 
17  9.3319e+02  7.0896e+02  3.6539e-01  2.9337e+02 
18  9.9402e+02  7.3069e+02  3.9920e-01  2.1507e+02 
19  1.0592e+03  7.5024e+02  4.3541e-01  1.6264e+02 
20  1.1265e+03  7.6979e+02  4.7284e-01  1.2300e+02 
21  1.1895e+03  7.8283e+02  5.0785e-01  1.0209e+02 
22  1.2482e+03  7.9369e+02  5.4044e-01  8.7412e+01 
23  1.3308e+03  8.0890e+02  5.8632e-01  7.0338e+01 
24  1.3938e+03  8.2628e+02  6.2133e-01  5.4869e+01 
25  1.4655e+03  8.4366e+02  6.6117e-01  4.2802e+01 
26  1.5328e+03  8.6539e+02  6.9859e-01  3.1378e+01 
27  1.6110e+03  8.8711e+02  7.4205e-01  2.3004e+01 
28  1.6849e+03  9.1101e+02  7.8310e-01  1.6349e+01 
29  1.7631e+03  9.3708e+02  8.2656e-01  1.1264e+01 
30  1.8370e+03  9.6098e+02  8.6761e-01  8.0052e+00 
31  1.9043e+03  9.8053e+02  9.0503e-01  6.0537e+00 
32  1.9673e+03  1.0044e+03  9.4004e-01  4.3024e+00 
33  2.0325e+03  1.0283e+03  9.7626e-01  3.0577e+00 
