#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
55.000000   0.031406   7.128406607094e-07
55.000000   0.062516   1.771434891691e-07
55.000000   0.099516   3.768811907374e-08
55.000000   0.138965   9.560089000610e-09
55.000000   0.178869   2.865401843092e-09
55.000000   0.218409   1.009296858483e-09
55.000000   0.258392   4.022155954305e-10
55.000000   0.298264   1.801309621811e-10
55.000000   0.338509   8.953516287506e-11
55.000000   0.378524   4.889468008063e-11
55.000000   0.418580   2.870091702932e-11
55.000000   0.466315   1.659174705069e-11
55.000000   0.503550   1.114025945102e-11
55.000000   0.541487   7.462838403010e-12
55.000000   0.580184   5.062801532548e-12
55.000000   0.624325   3.305151656784e-12
55.000000   0.661657   2.248091965071e-12
55.000000   0.698799   1.575729870487e-12
55.000000   0.740089   1.026284516175e-12
55.000000   0.778773   6.812613811700e-13
55.000000   0.818674   4.513847237755e-13
55.000000   0.858014   2.976473996256e-13
55.000000   0.897410   1.952444451063e-13
55.000000   0.936512   1.271330968373e-13
55.000000   0.975928   8.094341046103e-14
55.000000   1.015514   5.311645636861e-14
55.000000   1.054031   3.439890914749e-14
55.000000   1.102419   2.235739912915e-14
55.000000   1.132115   1.402478380136e-14
55.000000   1.171384   9.011333206451e-15
