#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
9   1   85.000000   0.020000   0.031139   2516.350002  1.866343630000e-03   1.866343630000e-03    7.416868196064e-07   7.416868196064e-07   80
9   2   85.000000   0.060000   0.061659   2508.507303  4.668710630000e-04   4.668710630000e-04    1.861150902139e-07   1.861150902139e-07   80
9   3   85.000000   0.100000   0.098637   2562.528633  9.869759370000e-05   9.869759370000e-05    3.851570375799e-08   3.851570375799e-08   80
9   4   85.000000   0.140000   0.137592   2637.020679  2.563481900000e-05   2.563481900000e-05    9.721129304804e-09   9.721129304804e-09   80
9   5   85.000000   0.180000   0.177537   2713.463803  7.885990620000e-06   7.885990620000e-06    2.906245003630e-09   2.906245003630e-09   80
9   6   85.000000   0.220000   0.217144   2792.275999  2.792463780000e-06   2.792463780000e-06    1.000067250157e-09   1.000067250157e-09   80
9   7   85.000000   0.260000   0.256860   2875.782381  1.125548240000e-06   1.125548240000e-06    3.913885304522e-10   3.913885304522e-10   80
9   8   85.000000   0.300000   0.296644   2946.899079  5.205204490000e-07   5.205204490000e-07    1.766332796088e-10   1.766332796088e-10   80
9   9   85.000000   0.340000   0.336661   3018.289468  2.803855540000e-07   2.803855540000e-07    9.289551481813e-11   9.289551481813e-11   80
9   10   85.000000   0.380000   0.376195   3121.048863  1.740088910000e-07   1.740088910000e-07    5.575333762405e-11   5.575333762405e-11   80
9   11   85.000000   0.420000   0.415274   3236.167830  1.215786110000e-07   1.215786110000e-07    3.756869772727e-11   3.756869772727e-11   80
9   12   85.000000   0.460000   0.452353   3403.213791  9.067074950000e-08   9.067074950000e-08    2.664268396531e-11   2.664268396531e-11   80
9   13   85.000000   0.500000   0.489753   3661.035064  7.177395370000e-08   7.177395370000e-08    1.960482553302e-11   1.960482553302e-11   80
