#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
75.000000   0.030849   6.938192172197e-07
75.000000   0.061793   1.833276188481e-07
75.000000   0.098312   3.920911668091e-08
75.000000   0.137906   9.696700938302e-09
75.000000   0.177597   2.887161570382e-09
75.000000   0.218064   9.852995928966e-10
75.000000   0.257951   3.817171685544e-10
75.000000   0.298236   1.693427968308e-10
75.000000   0.338596   9.001483479395e-11
75.000000   0.378512   5.422679112023e-11
75.000000   0.418504   3.591726358098e-11
75.000000   0.458276   2.518831536432e-11
75.000000   0.498229   1.820857159059e-11
75.000000   0.537446   1.342328682897e-11
75.000000   0.577095   9.925145819935e-12
75.000000   0.616762   7.406070736241e-12
75.000000   0.654846   5.544187942925e-12
75.000000   0.694032   4.065551615094e-12
75.000000   0.732023   2.926440434100e-12
