#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/
85.000000   0.031139   7.416868196064e-07
85.000000   0.061659   1.861150902139e-07
85.000000   0.098637   3.851570375799e-08
85.000000   0.137592   9.721129304804e-09
85.000000   0.177537   2.906245003630e-09
85.000000   0.217144   1.000067250157e-09
85.000000   0.256860   3.913885304522e-10
85.000000   0.296644   1.766332796088e-10
85.000000   0.336661   9.289551481813e-11
85.000000   0.376195   5.575333762405e-11
85.000000   0.415274   3.756869772727e-11
85.000000   0.452353   2.664268396531e-11
85.000000   0.489753   1.960482553302e-11
