#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
10   1   95.000000   0.020000   0.030483   2572.227317  1.926406980000e-03   1.851560910000e-03    7.489256362641e-07   7.198278697077e-07   80
10   2   95.000000   0.060000   0.059840   2530.629365  4.967126770000e-04   4.649516600000e-04    1.962802944871e-07   1.837296549351e-07   80
10   3   95.000000   0.100000   0.097829   2631.915605  1.034138260000e-04   9.294898990000e-05    3.929222722930e-08   3.531609817709e-08   80
10   4   95.000000   0.140000   0.136064   2749.712384  2.762469860000e-05   2.216782950000e-05    1.004639567423e-08   8.061872081237e-09   80
10   5   95.000000   0.180000   0.175239   2890.355790  8.739662170000e-06   6.601058010000e-06    3.023732303212e-09   2.283821954667e-09   80
10   6   95.000000   0.220000   0.213577   3047.071868  3.288093810000e-06   2.755675550000e-06    1.079099526510e-09   9.043684131444e-10   80
10   7   95.000000   0.260000   0.251449   3233.656801  1.427916770000e-06   9.409651760000e-07    4.415795669962e-10   2.909910463315e-10   80
10   8   95.000000   0.300000   0.287527   3433.842349  7.278499010000e-07   6.970583800000e-07    2.119636916971e-10   2.029966169539e-10   80
