#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
55.000000   0.031717   6.886167907293e-07
55.000000   0.062179   1.667129480428e-07
55.000000   0.099276   3.339999984187e-08
55.000000   0.138326   7.758868182468e-09
55.000000   0.178549   1.996722948174e-09
55.000000   0.218425   6.690781031454e-10
55.000000   0.258683   2.529621520106e-10
55.000000   0.298811   1.255553672915e-10
55.000000   0.338861   7.620167644614e-11
55.000000   0.379081   5.387964666610e-11
55.000000   0.419002   4.154650067724e-11
55.000000   0.467208   2.743614818075e-11
55.000000   0.503668   2.234615563718e-11
55.000000   0.541721   1.791912177600e-11
55.000000   0.580031   1.462814862890e-11
55.000000   0.624813   1.030931733465e-11
55.000000   0.661084   8.510826055958e-12
55.000000   0.697013   6.949394987019e-12
55.000000   0.740432   4.771004666106e-12
55.000000   0.779733   3.669187501867e-12
55.000000   0.818995   2.842713499001e-12
55.000000   0.858469   2.202431474289e-12
55.000000   0.897297   1.618351766972e-12
55.000000   0.936886   1.229297775678e-12
55.000000   0.976838   8.218876224367e-13
55.000000   1.015170   6.030175985461e-13
55.000000   1.056004   4.074538691414e-13
55.000000   1.092107   4.214303493008e-13
55.000000   1.132664   1.171797492569e-13
55.000000   1.172577   6.901205328134e-14
